TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K5001,1014,1219,05:38:00,05:38:30,G
K5003,100C,1219,05:58:30,05:59:00,G
K5005,100C,1220,06:18:00,06:18:30,G
K5007,1271,1208,06:48:00,06:48:30,G
K5009,1284,1219,06:55:00,06:55:30,G
K5011,1271,1210,07:10:30,07:11:00,G
K5013,1284,1219,07:30:00,07:30:30,G
K5015,1284,1208,07:43:00,07:43:30,G
K5017,1284,1219,07:55:00,07:55:30,G
K5019,1284,1208,08:10:00,08:10:30,G
K5021,1284,1219,08:30:00,08:30:30,G
K5023,1284,1208,08:49:00,08:49:30,G
K5025,1284,1219,08:58:30,08:59:00,G
K5027,1284,1220,09:15:30,09:16:00,G
K5029,1284,1208,09:32:30,09:33:00,G
K5031,1284,1208,09:49:30,09:50:00,G
K5033,1284,1219,09:59:00,09:59:30,G
K5035,1284,1208,10:20:30,10:21:00,G
K5037,1284,1219,10:37:30,10:38:00,G
K5039,1284,1208,10:44:00,10:44:30,G
K5041,1284,1219,11:00:30,11:01:00,G
K5043,1284,1208,11:13:00,11:13:30,G
K5045,1284,1219,11:33:30,11:34:00,G
K5047,1284,1208,11:40:30,11:41:00,G
K5049,1284,1219,11:58:30,11:59:00,G
K5051,1284,1210,12:12:00,12:12:30,G
K5053,1284,1219,12:32:00,12:32:30,G
K5055,1284,1208,12:43:30,12:44:00,G
K5057,1284,1219,12:58:30,12:59:00,G
K5059,1284,1208,13:11:00,13:11:30,G
K5061,1284,1219,13:33:00,13:33:30,G
K5063,1284,1208,13:43:30,13:44:00,G
K5065,1284,1219,14:02:00,14:02:30,G
K5067,1284,1208,14:11:30,14:12:00,G
K5069,1284,1219,14:29:00,14:29:30,G
K5071,1284,1208,14:45:00,14:45:30,G
K5073,1284,1220,14:58:00,14:58:30,G
K5075,1284,1208,15:15:30,15:16:00,G
K5077,1284,1219,15:30:00,15:30:30,G
K5079,1284,1208,15:43:30,15:44:00,G
K5081,1284,1219,15:56:00,15:56:30,G
K5083,1284,1208,16:17:30,16:18:00,G
K5085,1284,1219,16:32:00,16:32:30,G
K5087,1284,1208,16:43:30,16:44:00,G
K5089,1284,1219,17:00:30,17:01:00,G
K5091,1284,1208,17:11:30,17:12:00,G
K5093,1284,1220,17:30:00,17:30:30,G
K5095,1284,1208,17:40:30,17:41:00,G
K5097,1284,1219,18:02:30,18:03:00,G
K5099,1284,1210,18:11:00,18:11:30,G
K5101,1284,1219,18:32:30,18:33:00,G
K5103,1284,1208,18:41:00,18:41:30,G
K5105,1284,1219,18:55:00,18:55:30,G
K5107,1284,1208,19:09:00,19:09:30,G
K5109,1284,1219,19:34:00,19:34:30,G
K5111,1284,1208,19:44:30,19:45:00,G
K5113,1284,1219,19:59:00,19:59:30,G
K5115,1284,1208,20:11:30,20:12:00,G
K5117,1284,1219,20:36:00,20:36:30,G
K5119,1284,1208,20:45:30,20:46:00,G
K5121,1284,1219,21:02:00,21:02:30,G
K5123,1284,1208,21:15:30,21:16:00,G
K5125,1284,1219,21:34:00,21:34:30,G
K5127,1284,1208,21:49:30,21:50:00,G
K5129,1284,1219,21:55:00,21:55:30,G
K5131,1284,1219,22:13:30,22:14:00,G
K5133,1284,1208,22:30:00,22:30:30,G
K5135,1284,1219,22:44:00,22:44:30,G
K5137,1284,1219,23:01:30,23:02:00,G
K5139,1284,1208,23:25:00,23:25:30,G
K5141,1284,1219,23:37:30,23:38:00,G
K5143,1284,1208,24:01:30,24:02:00,G
