TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
4731K,0409,1762,25:00:00,G
4729K,0409,1762,24:42:00,G
4727K,0409,1762,24:26:00,G
4725,0409,1762,24:19:00,G
4723K,0409,1762,24:05:00,G
4721,0409,1762,23:51:00,G
4719,0409,1762,23:40:00,G
4717K,0409,1762,23:32:30,G
4715K,0409,1762,23:26:00,G
4713,0409,1762,23:14:00,G
4711K,0409,1762,23:07:00,G
4709,0409,1762,22:56:00,G
4707K,0409,1762,22:50:00,G
4705K,0409,1762,22:38:00,G
4703,0409,1762,22:28:00,G
4701K,0409,1762,22:18:00,G
4699K,0409,1762,22:07:00,D
4697K,0409,1762,21:52:00,G
4695,0409,1762,21:42:00,G
4693,0409,1762,21:33:30,G
4691K,0409,1762,21:19:30,D
4689,0409,1762,21:09:00,G
4687K,0409,1762,21:01:00,G
4685K,0409,1762,20:53:00,G
4683K,0409,1762,20:46:00,G
4681,0409,1762,20:39:00,G
4679K,0409,1762,20:28:00,G
4677,0412,1762,20:21:30,G
4675K,0409,1762,20:08:30,D
4673,0409,1762,20:00:00,G
4671K,0409,1762,19:54:00,G
4669,0409,1762,19:48:00,G
4667K,0409,1762,19:38:00,G
4665,0409,1762,19:31:30,G
4663K,0409,1762,19:24:00,G
4661K,0409,1762,19:17:00,G
4659K,0409,1762,19:10:30,G
4657,0412,1762,19:03:30,G
4655K,0409,1762,18:56:30,G
4653,0412,1762,18:49:00,G
4651K,0409,1762,18:41:00,G
4589,0409,1762,13:10:00,G
4587,0409,1762,13:03:00,G
4585K,0409,1762,12:52:00,G
4583,0409,1762,12:41:00,G
4581K,0409,1762,12:30:00,G
4579,0409,1762,12:19:00,G
4577,0409,1762,12:08:00,G
4575K,0409,1762,11:57:00,G
4573K,0409,1762,11:47:00,G
4571K,0409,1762,11:37:00,G
4569,0409,1762,11:27:00,G
4567K,0409,1762,11:15:00,G
4565K,0409,1762,11:02:00,G
4563K,0409,1762,10:52:00,G
4561K,0409,1762,10:41:00,G
4559K,0409,1762,10:33:00,G
4557K,0409,1762,10:21:00,G
4555K,0409,1762,10:15:00,G
4553K,0409,1762,10:08:30,G
4551,0409,1762,09:59:00,G
4549K,0409,1762,09:45:00,G
4547K,0409,1762,09:39:00,G
4545,0409,1762,09:27:00,G
4543K,0409,1762,09:21:00,G
4541,0409,1762,09:09:00,G
4539,0409,1762,09:03:00,G
4537K,0409,1762,08:57:00,G
4535,0409,1762,08:51:00,G
4533K,0409,1762,08:39:00,G
4531,0409,1762,08:32:00,G
4529K,0409,1762,08:24:00,G
4527K,0409,1762,08:16:00,G
4525,0409,1762,08:08:00,G
4523,0409,1762,08:00:00,G
4521,0409,1762,07:51:00,G
4519,0409,1762,07:42:00,G
4649K,0409,1762,18:32:30,G
4647K,0409,1762,18:21:00,G
4645,0409,1762,18:10:00,G
4643K,0409,1762,17:59:00,G
4641,0409,1762,17:48:00,G
4639K,0409,1762,17:42:00,G
4637,0409,1762,17:32:00,G
4635,0409,1762,17:21:00,G
4633,0409,1762,17:14:00,G
4631K,0409,1762,17:03:00,G
4629,0409,1762,16:52:00,G
4627K,0409,1762,16:41:00,G
4625,0409,1762,16:29:00,G
4623,0409,1762,16:18:00,G
4621K,0409,1762,16:07:00,G
4619K,0409,1762,15:56:00,G
4617K,0409,1762,15:45:00,G
4615,0409,1762,15:39:00,G
4613K,0409,1762,15:28:00,G
4611K,0409,1762,15:17:00,G
4609K,0409,1762,15:10:00,G
4607K,0409,1762,14:59:00,G
4605K,0409,1762,14:48:00,G
4603K,0409,1762,14:36:00,G
4601K,0409,1762,14:26:00,G
4599K,0409,1762,14:15:00,G
4597,0409,1762,14:04:00,G
4595K,0409,1762,13:53:00,G
4593K,0409,1762,13:34:00,G
4591,0409,1762,13:22:00,G
4517,0409,1762,07:31:00,G
4515,0411,1762,07:20:00,G
4513,0419,1762,07:07:30,G
4511,0433,1762,06:51:00,G
4509K,1458,1762,06:35:30,G
4507K,1759,1762,06:26:30,G
4505K,1458,1762,06:19:30,G
4503K,1759,1762,05:57:30,G
4501K,1759,1762,05:38:30,G
