TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
K2,1806,1915,05:27:00,G
K4,1812,1915,05:36:30,G
K6,1812,1916,05:47:30,G
K8,1812,1915,05:59:30,G
K10,1812,1915,06:11:30,G
K12,1812,1916,06:23:30,G
K14,1812,1909,06:33:30,G
K16,1812,1915,06:43:30,G
K18,1812,1916,06:56:30,G
K20,1812,1909,07:06:30,G
K22,1812,1915,07:15:30,G
K24,1812,1909,07:24:30,G
K26,1812,1916,07:32:30,G
K28,1812,1909,07:41:30,G
K30,1812,1906,07:51:30,G
K32,1812,1916,08:00:30,G
K34,1812,1909,08:08:30,G
K36,1812,1916,08:17:30,G
K38,1812,1909,08:27:30,G
S40,1812,1906,08:35:30,G
K42,1812,1916,08:44:30,G
K44,1812,1909,08:52:30,G
K46,1812,1022,09:00:30,G
K48,1812,1019,09:08:30,G
K50,1812,1916,09:16:30,G
S52,1812,1909,09:25:30,G
K54,1812,1906,09:32:30,G
S56,1812,1909,09:40:30,G
K58,1812,1916,09:48:30,G
K60,1812,1022,09:56:30,G
K62,1812,1906,10:05:30,G
K64,1812,1022,10:15:30,G
K66,1812,1916,10:25:30,G
K68,1812,1909,10:35:30,G
K70,1812,1906,10:44:30,G
K72,1812,1916,10:55:30,G
K74,1812,1909,11:04:30,G
K76,1812,1906,11:13:30,G
K78,1812,1916,11:23:30,G
K80,1812,1909,11:33:30,G
S82,1812,1906,11:44:30,G
K84,1812,1916,11:55:30,G
K86,1812,1909,12:05:30,G
K88,1812,1906,12:15:30,G
K90,1812,1916,12:24:30,G
S92,1812,1909,12:34:30,G
K94,1812,1906,12:44:30,G
K96,1812,1916,12:55:30,G
S98,1812,1909,13:05:30,G
K100,1812,1906,13:15:30,G
K102,1812,1916,13:24:30,G
K104,1812,1909,13:34:30,G
S106,1812,1019,13:47:30,G
K108,1812,1916,13:54:30,G
S110,1812,1909,14:04:30,G
K112,1812,1906,14:14:30,G
K114,1812,1916,14:25:30,G
S116,1812,1906,14:35:30,G
K118,1812,1916,14:45:30,G
K120,1812,1909,14:55:30,G
K122,1812,1906,15:04:30,G
K124,1812,1916,15:14:30,G
K126,1812,1909,15:23:30,G
K128,1812,1916,15:33:30,G
K130,1812,1701,15:46:30,G
K132,1812,1916,15:55:30,G
S134,1812,1909,16:04:30,G
K136,1812,1916,16:14:30,G
K138,1812,1701,16:23:30,G
K140,1812,1916,16:34:30,G
K142,1812,1915,16:45:30,G
K144,1812,1916,16:55:30,G
K146,1812,1906,17:03:30,G
S148,1812,1909,17:11:30,G
K150,1812,1915,17:19:30,G
S152,1812,1906,17:27:30,G
K154,1812,1916,17:36:30,G
S156,1812,1909,17:44:30,G
K158,1812,1906,17:52:30,G
K160,1812,1916,18:00:30,G
K162,1812,1906,18:09:30,G
K164,1812,1701,18:14:30,G
K166,1812,1915,18:24:30,G
K168,1812,1022,18:31:30,G
S170,1812,1909,18:40:30,G
K172,1812,1916,18:47:30,G
K174,1812,1906,18:55:30,G
S176,1812,1022,19:03:30,G
K178,1812,1916,19:10:30,G
K180,1812,1906,19:17:30,G
K182,1812,1909,19:26:30,G
K184,1812,1022,19:36:30,G
K186,1812,1916,19:44:30,G
K188,1812,1909,19:51:30,G
K190,1812,1022,19:59:30,G
K192,1812,1916,20:07:30,G
K194,1812,1022,20:15:30,G
K196,1812,1906,20:24:30,G
K198,1812,1915,20:32:30,G
K200,1812,1909,20:40:30,G
S202,1812,0159,20:48:30,G
K204,1812,1916,20:53:30,G
K206,1812,1701,21:01:30,G
K208,1812,1909,21:11:30,G
K210,1812,1916,21:21:30,G
K212,1812,1906,21:31:30,G
S216,1812,0159,21:41:30,G
K218,1812,1916,21:51:30,G
S220,1812,0159,22:01:30,G
K222,1812,1916,22:11:30,G
K224,1812,1909,22:20:30,G
K226,1812,1022,22:29:30,G
K228,1812,1916,22:34:30,G
S230,1812,0159,22:42:30,G
K232,1812,1022,22:51:30,G
S234,1812,0159,22:57:30,G
K236,1812,1906,23:07:30,G
S238,1812,0159,23:18:30,G
K240,1812,1019,23:38:30,G
K242,1812,1701,23:55:30,G
K244,1812,1701,24:06:30,G
K246,1812,1701,24:19:30,G
