TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
K6015,102C,1846,05:50:30,G
K6019,102C,1846,06:02:30,G
K6023,102C,1846,06:13:30,G
K6029,102C,1846,06:31:30,G
K6033,102C,1846,06:45:30,G
K6037,102C,1846,06:54:30,G
K6041,102C,1846,07:05:30,G
K6043,102C,1846,07:13:30,G
K6403,102C,1846,07:25:00,D
K6047,102C,1846,07:32:30,G
K6049,102C,1846,07:39:30,G
K6051,102C,1846,07:47:30,G
K6053,102C,1846,07:54:30,G
K6055,102C,1846,08:01:00,G
K6405,102C,1846,08:07:00,D
K6059,102C,1846,08:13:30,G
K6061,102C,1846,08:19:30,G
K6063,102C,1846,08:25:30,G
K6065,102C,1846,08:30:00,G
K6067,1845,1862,08:34:30,G
K6069,102C,1846,08:40:30,G
K6071,102C,1862,08:45:00,G
K6073,102C,1846,08:49:30,G
K6491,102C,1862,08:53:00,G
K6075,102C,1862,08:57:00,G
K6077,102C,1846,09:01:30,G
K6079,102C,1862,09:05:00,G
K6081,102C,1862,09:09:00,G
K6083,102C,1846,09:13:30,G
K6085,102C,1862,09:17:00,G
K6087,102C,1862,09:21:00,G
K6089,102C,1846,09:25:30,G
K6393,102C,1862,09:29:00,G
K6091,102C,1862,09:33:00,G
K6093,102C,1862,09:37:00,G
K6095,102C,1846,09:41:30,G
K6097,102C,1862,09:45:00,G
K6099,102C,1862,09:49:00,G
K6101,102C,1846,09:53:30,G
K6103,102C,1862,09:57:00,G
K6105,102C,1862,10:02:00,G
K6107,102C,1862,10:07:00,G
K6109,102C,1846,10:11:30,G
K6111,102C,1862,10:17:00,G
K6113,102C,1862,10:23:00,G
K6115,1845,1846,10:29:30,G
K6117,102C,1862,10:35:00,G
K6121,102C,1846,10:42:30,G
K6123,102C,1862,10:49:00,G
K6125,102C,1846,10:57:30,G
K6127,102C,1862,11:04:00,G
K6129,102C,1846,11:13:30,G
K6131,102C,1862,11:21:00,G
K6133,1845,1846,11:32:30,G
K6135,102C,1862,11:38:00,G
K6137,102C,1846,11:45:30,G
K6139,102C,1862,11:53:00,G
K6141,102C,1846,12:01:30,G
K6143,102C,1862,12:09:00,G
K6145,102C,1846,12:17:30,G
K6147,102C,1862,12:26:00,G
K6149,102C,1846,12:35:00,G
K6151,1845,1862,12:42:30,G
K6153,102C,1846,12:49:30,G
K6155,102C,1862,12:57:00,G
K6157,102C,1846,13:06:30,G
K6159,102C,1862,13:14:00,G
K6161,102C,1846,13:23:30,G
