TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K609,1701,1408,05:11:30,05:12:00,G
K611,1701,1408,05:30:30,05:31:00,G
K613,1701,1728,05:43:30,05:44:00,G
S401,0150,1749,05:53:00,05:53:30,G
K615,1701,1728,06:01:00,06:01:30,G
K403,1701,1749,06:07:00,06:07:30,G
S405,0159,1749,06:14:30,06:15:00,G
K407,1019,1749,06:26:30,06:27:00,G
K619,1701,1728,06:37:00,06:37:30,G
K409,1019,1749,06:46:30,06:47:00,G
K621,1701,1408,06:52:00,06:52:30,G
K411,1019,1749,07:00:00,07:00:30,G
K623,1701,1728,07:07:30,07:08:00,G
S413,1019,1749,07:13:30,07:14:00,G
K415,1019,1749,07:22:00,07:22:30,G
K625,1019,1728,07:31:00,07:31:30,G
S417,1019,1749,07:37:00,07:37:30,G
K627,0158,1408,07:43:00,07:43:30,G
K419,1019,1749,07:49:30,07:50:00,G
K629,1019,1728,07:56:00,07:56:30,G
K421,1019,1749,08:02:30,08:03:00,G
K631,1019,1728,08:09:00,08:09:30,G
S423,0159,1749,08:16:00,08:16:30,G
K633,1019,1408,08:23:00,08:23:30,G
S425,1019,1749,08:31:30,08:32:00,G
K635,1019,1728,08:37:00,08:37:30,G
K427,1019,1716,08:44:00,08:44:30,G
K637,0158,1408,08:50:30,08:51:00,G
K429,1019,1716,08:57:00,08:57:30,G
K431,1019,1749,09:03:30,09:04:00,G
K639,0158,1728,09:09:00,09:09:30,G
K433,1019,1716,09:17:30,09:18:00,G
K435,1019,1749,09:23:30,09:24:00,G
K641,1019,1408,09:35:00,09:35:30,G
S437,1019,1749,09:46:00,09:46:30,G
K643,1019,1408,09:54:00,09:54:30,G
S439,1019,1749,10:03:30,10:04:00,G
K645,0158,1408,10:11:30,10:12:00,G
K441,1019,1749,10:20:30,10:21:00,G
K647,0158,1408,10:28:00,10:28:30,G
K443,1019,1749,10:35:30,10:36:00,G
K649,0158,1408,10:44:00,10:44:30,G
S445,1019,1749,10:55:00,10:55:30,G
K651,0158,1728,11:02:30,11:03:00,G
S447,1019,1749,11:15:30,11:16:00,G
K653,0158,1408,11:24:30,11:25:00,G
