TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K6007,102C,1846,00:00:00,05:15:00,G
K6009,102C,1846,00:00:00,05:30:00,G
K6011,102C,1846,00:00:00,05:43:00,G
K6013,102C,1846,00:00:00,05:56:00,G
K6015,102C,1862,00:00:00,06:09:00,G
K6017,102C,1846,00:00:00,06:21:00,G
K6019,102C,1846,00:00:00,06:33:00,G
K6021,102C,1846,00:00:00,06:45:00,G
K6023,102C,1862,00:00:00,06:56:00,G
K6025,102C,1846,00:00:00,07:07:00,G
K6027,102C,1846,00:00:00,07:18:00,G
K6029,102C,1846,00:00:00,07:28:00,G
K6031,102C,1862,00:00:00,07:38:00,G
K6033,102C,1846,00:00:00,07:48:00,G
K6035,102C,1862,00:00:00,07:56:00,G
K6037,102C,1846,00:00:00,08:04:00,G
K6039,102C,1862,00:00:00,08:12:00,G
K6041,102C,1846,00:00:00,08:20:00,G
K6043,102C,1862,00:00:00,08:28:00,G
K6045,102C,1846,00:00:00,08:36:00,G
K6047,102C,1862,00:00:00,08:44:00,G
K6049,102C,1846,00:00:00,08:52:00,G
K6051,102C,1862,00:00:00,09:00:00,G
K6053,102C,1846,00:00:00,09:08:00,G
K6055,102C,1862,00:00:00,09:16:00,G
K6057,102C,1846,00:00:00,09:24:00,G
K6059,102C,1862,00:00:00,09:32:00,G
K6061,102C,1846,00:00:00,09:39:00,G
K6063,102C,1862,00:00:00,09:46:00,G
K6065,102C,1846,00:00:00,09:53:00,G
K6067,102C,1862,00:00:00,10:00:00,G
K6069,102C,1846,00:00:00,10:08:00,G
K6071,102C,1862,00:00:00,10:15:00,G
K6073,102C,1846,00:00:00,10:22:00,G
K6075,102C,1862,00:00:00,10:29:00,G
K6077,102C,1846,00:00:00,10:36:00,G
K6079,102C,1862,00:00:00,10:43:00,G
K6081,102C,1846,00:00:00,10:50:00,G
K6083,102C,1862,00:00:00,10:57:00,G
K6085,102C,1846,00:00:00,11:04:00,G
K6087,102C,1862,00:00:00,11:11:00,G
K6089,102C,1846,00:00:00,11:18:00,G
K6091,102C,1862,00:00:00,11:25:00,G
K6093,102C,1846,00:00:00,11:32:00,G
K6095,102C,1862,00:00:00,11:39:00,G
K6097,102C,1846,00:00:00,11:46:00,G
K6099,102C,1862,00:00:00,11:53:00,G
K6101,102C,1846,00:00:00,12:00:00,G
K6103,102C,1862,00:00:00,12:07:00,G
K6105,102C,1846,00:00:00,12:14:00,G
K6107,102C,1862,00:00:00,12:21:00,G
K6109,102C,1846,00:00:00,12:28:00,G
K6111,102C,1862,00:00:00,12:35:00,G
K6113,102C,1846,00:00:00,12:42:00,G
K6115,102C,1862,00:00:00,12:49:00,G
K6117,102C,1846,00:00:00,12:56:00,G
K6119,102C,1862,00:00:00,13:03:00,G
K6121,102C,1846,00:00:00,13:10:00,G
K6123,102C,1862,00:00:00,13:17:00,G
K6125,102C,1846,00:00:00,13:24:00,G
K6127,102C,1862,00:00:00,13:31:00,G
K6129,102C,1846,00:00:00,13:38:00,G
K6131,102C,1862,00:00:00,13:45:00,G
K6133,102C,1846,00:00:00,13:52:00,G
K6135,102C,1862,00:00:00,13:59:00,G
K6137,102C,1846,00:00:00,14:06:00,G
K6139,102C,1862,00:00:00,14:13:00,G
K6141,102C,1846,00:00:00,14:20:00,G
K6143,102C,1862,00:00:00,14:27:00,G
K6145,102C,1846,00:00:00,14:34:00,G
K6147,102C,1862,00:00:00,14:41:00,G
K6149,102C,1846,00:00:00,14:48:00,G
K6151,102C,1862,00:00:00,14:55:00,G
K6153,102C,1846,00:00:00,15:02:00,G
K6155,102C,1862,00:00:00,15:09:00,G
K6157,102C,1846,00:00:00,15:16:00,G
K6159,102C,1862,00:00:00,15:23:00,G
K6161,102C,1846,00:00:00,15:30:00,G
K6163,102C,1862,00:00:00,15:37:00,G
K6165,102C,1846,00:00:00,15:44:00,G
K6167,102C,1862,00:00:00,15:51:00,G
K6169,102C,1846,00:00:00,15:58:00,G
K6171,102C,1862,00:00:00,16:05:00,G
K6173,102C,1846,00:00:00,16:12:00,G
K6175,102C,1862,00:00:00,16:19:00,G
K6177,102C,1846,00:00:00,16:26:00,G
K6179,102C,1862,00:00:00,16:33:00,G
K6181,102C,1846,00:00:00,16:40:00,G
K6183,102C,1862,00:00:00,16:47:00,G
K6185,102C,1846,00:00:00,16:54:00,G
K6187,102C,1862,00:00:00,17:01:00,G
K6189,102C,1846,00:00:00,17:08:00,G
K6191,102C,1862,00:00:00,17:15:00,G
K6193,102C,1846,00:00:00,17:22:00,G
K6195,102C,1862,00:00:00,17:29:00,G
K6197,102C,1846,00:00:00,17:36:00,G
K6199,102C,1862,00:00:00,17:43:00,G
K6201,102C,1846,00:00:00,17:50:00,G
K6203,102C,1862,00:00:00,17:57:00,G
K6205,102C,1846,00:00:00,18:04:00,G
K6207,102C,1862,00:00:00,18:11:00,G
K6209,102C,1846,00:00:00,18:18:00,G
K6211,102C,1862,00:00:00,18:25:00,G
K6213,102C,1846,00:00:00,18:32:00,G
K6215,102C,1862,00:00:00,18:39:00,G
K6217,102C,1846,00:00:00,18:46:00,G
K6219,102C,1862,00:00:00,18:53:00,G
K6221,102C,1846,00:00:00,19:01:00,G
K6223,102C,1862,00:00:00,19:08:00,G
K6225,102C,1846,00:00:00,19:16:00,G
K6227,102C,1862,00:00:00,19:24:00,G
K6229,102C,1846,00:00:00,19:32:00,G
K6231,102C,1862,00:00:00,19:40:00,G
K6233,102C,1846,00:00:00,19:48:00,G
K6235,102C,1862,00:00:00,19:56:00,G
K6237,102C,1846,00:00:00,20:04:00,G
K6239,102C,1862,00:00:00,20:12:00,G
K6241,102C,1846,00:00:00,20:20:00,G
K6243,102C,1862,00:00:00,20:28:00,G
K6245,102C,1846,00:00:00,20:36:00,G
K6247,102C,1862,00:00:00,20:44:00,G
K6249,102C,1862,00:00:00,20:52:00,G
K6251,102C,1846,00:00:00,21:00:00,G
K6253,102C,1862,00:00:00,21:09:00,G
K6255,102C,1846,00:00:00,21:19:00,G
K6257,102C,1862,00:00:00,21:29:00,G
K6259,102C,1846,00:00:00,21:40:00,G
K6261,102C,1862,00:00:00,21:50:00,G
K6263,102C,1846,00:00:00,22:00:00,G
K6265,102C,1862,00:00:00,22:11:00,G
K6267,102C,1846,00:00:00,22:23:00,G
K6269,102C,1862,00:00:00,22:36:00,G
K6271,102C,1846,00:00:00,22:48:00,G
K6273,102C,1862,00:00:00,23:00:00,G
K6275,102C,1846,00:00:00,23:15:00,G
K6277,102C,1862,00:00:00,23:28:00,G
K6279,102C,1862,00:00:00,23:41:00,G
