TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K6338,1846,1862,23:53:50,00:00:00,G
K6342,1846,1862,24:19:40,00:00:00,G
K6340,1846,1862,24:05:40,00:00:00,G
K6394,1846,1862,20:20:00,00:00:00,G
K6336,1846,1862,23:41:40,00:00:00,G
K6100,1846,1862,09:51:40,00:00:00,G
K6002,1862,102C,00:00:00,05:00:00,G
K6004,1862,102C,00:00:00,05:12:00,G
K6006,1862,102C,00:00:00,05:24:00,G
K6008,1846,102C,05:32:50,05:33:10,G
K6010,1862,102C,00:00:00,05:41:00,G
K6012,1862,102C,00:00:00,05:48:00,G
K6014,1846,102C,05:54:50,05:55:10,G
K6016,1862,102C,00:00:00,06:03:00,G
K6018,1862,102C,00:00:00,06:09:00,G
K6020,1846,102C,06:14:50,06:15:10,G
K6022,1862,102C,00:00:00,06:22:00,G
K6024,1846,102C,06:28:50,06:29:10,G
K6026,1862,102C,00:00:00,06:35:00,G
K6028,1846,102C,06:39:50,06:40:10,G
K6030,1862,1845,00:00:00,06:45:00,G
K6032,1846,102C,06:49:50,06:50:10,G
K6034,1862,102C,00:00:00,06:55:00,G
K6036,1846,102C,07:00:50,07:01:10,G
K6410,1846,102C,07:06:30,07:07:00,D
K6040,1862,102C,00:00:00,07:11:00,G
K6038,1846,102C,07:14:00,07:14:30,G
K6042,1862,102C,00:00:00,07:19:00,G
K6044,1846,102C,07:22:50,07:23:10,G
K6046,1862,102C,00:00:00,07:27:00,G
K6048,1846,102C,07:29:50,07:30:10,G
K6412,1846,102C,07:33:30,07:34:00,D
K6050,1846,102C,07:38:30,07:39:00,G
K6414,1846,102C,07:42:30,07:43:00,D
K6054,1862,102C,00:00:00,07:46:00,G
K6056,1846,102C,07:48:30,07:49:00,G
K6058,1862,102C,00:00:00,07:52:00,G
K6060,1846,102C,07:56:00,07:56:30,G
K6416,1846,102C,08:00:00,08:00:30,D
K6062,1846,102C,08:05:20,08:05:50,G
K6066,1862,102C,00:00:00,08:10:00,G
K6068,1846,102C,08:12:50,08:13:10,G
K6070,1846,102C,08:16:50,08:17:10,G
K6072,1846,102C,08:21:50,08:22:10,G
K6418,1846,102C,08:26:30,08:27:00,D
K6074,1846,1845,08:32:10,08:32:40,G
K6078,1846,102C,08:37:50,08:38:10,G
K6080,1846,102C,08:43:50,08:44:10,G
K6082,1846,102C,08:49:50,08:50:10,G
K6084,1846,102C,08:56:50,08:57:10,G
K6086,1846,102C,09:03:50,09:04:10,G
K6088,1846,102C,09:10:50,09:11:10,G
K6090,1846,102C,09:17:50,09:18:10,G
K6092,1846,102C,09:24:50,09:25:10,G
K6094,1846,102C,09:32:50,09:33:10,G
K6096,1846,1845,09:40:40,09:41:10,G
K6098,1846,102C,09:46:50,09:47:10,G
K6102,1846,102C,09:58:50,09:59:10,G
K6104,1846,102C,10:06:50,10:07:10,G
K6106,1846,102C,10:15:50,10:16:10,G
K6108,1846,102C,10:23:50,10:24:10,G
K6110,1862,102C,00:00:00,10:33:00,G
K6112,1846,102C,10:38:50,10:39:10,G
K6114,1862,1845,00:00:00,10:47:00,G
K6116,1846,102C,10:53:50,10:54:10,G
K6118,1846,102C,11:01:50,11:02:10,G
K6120,1846,102C,11:10:50,11:11:10,G
K6122,1862,102C,00:00:00,11:20:00,G
K6124,1846,102C,11:26:40,11:27:10,G
K6126,1862,102C,00:00:00,11:34:00,G
K6128,1846,1845,11:39:40,11:40:10,G
K6130,1862,102C,00:00:00,11:51:00,G
K6132,1846,102C,11:58:50,11:59:10,G
K6134,1862,102C,00:00:00,12:08:00,G
K6136,1846,102C,12:14:50,12:15:10,G
K6138,1862,102C,00:00:00,12:24:00,G
K6140,1846,102C,12:30:40,12:31:10,G
K6142,1862,102C,00:00:00,12:40:00,G
K6144,1846,102C,12:46:50,12:47:10,G
K6146,1862,102C,00:00:00,12:56:00,G
K6148,1846,102C,13:03:50,13:04:10,G
K6150,1862,102C,00:00:00,13:13:00,G
K6152,1846,102C,13:19:50,13:20:10,G
K6154,1862,1845,00:00:00,13:28:00,G
K6156,1846,102C,13:34:40,13:35:10,G
K6158,1862,102C,00:00:00,13:44:00,G
K6160,1846,102C,13:50:50,13:51:10,G
K6162,1862,102C,00:00:00,14:00:00,G
K6164,1846,102C,14:06:50,14:07:10,G
K6166,1862,102C,00:00:00,14:16:00,G
K6168,1846,102C,14:22:50,14:23:10,G
K6170,1862,1845,00:00:00,14:32:00,G
K6172,1846,102C,14:38:50,14:39:10,G
K6174,1862,102C,00:00:00,14:48:00,G
K6176,1846,102C,14:54:50,14:55:10,G
K6178,1862,102C,00:00:00,15:04:00,G
K6180,1846,102C,15:10:50,15:11:10,G
K6182,1862,102C,00:00:00,15:20:00,G
K6184,1846,102C,15:26:50,15:27:10,G
K6186,1862,1845,00:00:00,15:35:00,G
K6188,1846,102C,15:42:50,15:43:10,G
K6190,1862,102C,00:00:00,15:51:00,G
K6192,1846,102C,15:58:50,15:59:10,G
K6194,1862,102C,00:00:00,16:08:00,G
K6196,1846,102C,16:14:50,16:15:10,G
K6198,1862,102C,00:00:00,16:21:00,G
K6200,1862,102C,00:00:00,16:26:00,G
K6202,1846,102C,16:30:50,16:31:10,G
K6204,1862,102C,00:00:00,16:37:00,G
K6206,1862,102C,00:00:00,16:42:00,G
K6208,1846,102C,16:47:40,16:48:10,G
K6210,1862,102C,00:00:00,16:55:00,G
K6212,1846,102C,16:58:50,16:59:10,G
K6214,1862,102C,00:00:00,17:04:00,G
K6392,1862,102C,00:00:00,17:09:00,G
K6216,1846,102C,17:13:50,17:14:10,G
K6218,1862,102C,00:00:00,17:19:00,G
K6220,1846,102C,17:23:50,17:24:10,G
K6222,1862,102C,00:00:00,17:30:00,G
K6224,1862,102C,00:00:00,17:35:00,G
K6226,1846,102C,17:39:40,17:40:10,G
K6228,1862,102C,00:00:00,17:45:00,G
K6230,1862,102C,00:00:00,17:50:00,G
K6232,1846,102C,17:53:50,17:54:10,G
K6234,1862,1845,00:00:00,17:58:00,G
K6236,1862,102C,00:00:00,18:03:00,G
K6238,1846,102C,18:07:40,18:08:10,G
K6240,1862,102C,00:00:00,18:13:00,G
K6242,1862,102C,00:00:00,18:18:00,G
K6244,1846,102C,18:22:50,18:23:10,G
K6246,1862,102C,00:00:00,18:28:00,G
K6248,1862,102C,00:00:00,18:33:00,G
K6250,1846,102C,18:36:50,18:37:10,G
K6252,1862,102C,00:00:00,18:43:00,G
K6254,1846,102C,18:46:50,18:47:10,G
K6256,1846,102C,18:53:50,18:54:10,G
K6258,1862,102C,00:00:00,19:00:00,G
K6260,1846,102C,19:03:50,19:04:10,G
K6262,1862,102C,00:00:00,19:09:00,G
K6424,1846,102C,19:13:30,19:14:00,D
K6264,1846,102C,19:19:10,19:19:40,G
K6268,1846,102C,19:24:50,19:25:10,G
K6270,1862,102C,00:00:00,19:32:00,G
K6272,1846,102C,19:35:50,19:36:10,G
K6274,1846,102C,19:40:50,19:41:10,G
K6276,1862,102C,00:00:00,19:46:00,G
K6278,1846,102C,19:49:50,19:50:10,G
K6428,1846,102C,19:54:00,19:54:30,D
K6280,1846,102C,20:00:20,20:00:50,G
K6284,1846,102C,20:06:50,20:07:10,G
K6286,1862,102C,00:00:00,20:12:00,G
K6288,1846,102C,20:15:50,20:16:10,G
K6290,1846,102C,20:23:50,20:24:10,G
K6292,1862,102C,00:00:00,20:29:00,G
K6294,1846,102C,20:32:50,20:33:10,G
K6296,1846,102C,20:39:50,20:40:10,G
K6298,1846,102C,20:47:50,20:48:10,G
K6300,1846,102C,20:55:50,20:56:10,G
K6302,1846,102C,21:03:50,21:04:10,G
K6304,1846,102C,21:10:50,21:11:10,G
K6306,1846,102C,21:19:50,21:20:10,G
K6308,1846,102C,21:27:50,21:28:10,G
K6310,1846,102C,21:36:50,21:37:10,G
K6312,1846,102C,21:44:50,21:45:10,G
K6314,1846,102C,21:51:50,21:52:10,G
K6316,1862,102C,00:00:00,21:59:00,G
K6318,1846,102C,22:03:50,22:04:10,G
K6320,1846,102C,22:12:50,22:13:10,G
K6322,1846,102C,22:20:50,22:21:10,G
K6324,1846,102C,22:29:50,22:30:10,G
K6326,1846,102C,22:40:50,22:41:10,G
K6328,1846,102C,22:52:50,22:53:10,G
K6330,1846,102C,23:04:50,23:05:10,G
K6332,1846,102C,23:15:50,23:16:10,G
K6334,1846,102C,23:29:50,23:30:10,G
