TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K6262,1862,102C,22:52:50,00:00:00,G
K6260,1846,102C,22:39:00,00:00:00,G
K6258,1862,102C,22:29:50,00:00:00,G
K6256,1846,102C,22:19:00,00:00:00,G
K6254,1846,102C,22:04:00,00:00:00,G
K6250,1846,102C,21:44:00,00:00:00,G
K6246,1846,102C,21:24:00,00:00:00,G
K6242,1846,102C,21:11:00,00:00:00,G
K6240,1846,102C,20:58:00,00:00:00,G
K6238,1846,102C,20:44:00,00:00:00,G
K6234,1846,102C,20:30:00,00:00:00,G
K6232,1846,102C,20:21:00,00:00:00,G
K6230,1862,102C,20:12:50,00:00:00,G
K6228,1846,102C,20:03:00,00:00:00,G
K6226,1862,102C,19:55:50,00:00:00,G
K6224,1846,102C,19:47:00,00:00:00,G
K6222,1862,102C,19:39:50,00:00:00,G
K6220,1846,102C,19:32:00,00:00:00,G
K6218,1862,102C,19:25:50,00:00:00,G
K6216,1846,102C,19:18:00,00:00:00,G
K6214,1862,102C,19:11:50,00:00:00,G
K6212,1846,102C,19:04:00,00:00:00,G
K6210,1862,102C,18:57:50,00:00:00,G
K6208,1846,102C,18:50:00,00:00:00,G
K6206,1862,102C,18:42:50,00:00:00,G
K6204,1846,102C,18:35:00,00:00:00,G
K6202,1862,102C,18:28:50,00:00:00,G
K6200,1846,102C,18:21:00,00:00:00,G
K6198,1862,102C,18:14:50,00:00:00,G
K6196,1846,102C,18:07:00,00:00:00,G
K6194,1862,102C,18:00:50,00:00:00,G
K6192,1846,102C,17:53:00,00:00:00,G
K6190,1862,102C,17:46:50,00:00:00,G
K6144,1846,102C,15:05:00,00:00:00,G
K6142,1862,102C,14:58:50,00:00:00,G
K6140,1846,102C,14:51:00,00:00:00,G
K6138,1862,102C,14:44:50,00:00:00,G
K6136,1846,102C,14:37:00,00:00:00,G
K6134,1862,102C,14:30:50,00:00:00,G
K6132,1846,102C,14:23:00,00:00:00,G
K6130,1862,102C,14:16:50,00:00:00,G
K6128,1846,102C,14:09:00,00:00:00,G
K6126,1862,102C,14:02:50,00:00:00,G
K6124,1846,102C,13:55:00,00:00:00,G
K6122,1862,102C,13:48:50,00:00:00,G
K6120,1846,102C,13:41:00,00:00:00,G
K6118,1862,102C,13:34:50,00:00:00,G
K6116,1846,102C,13:27:00,00:00:00,G
K6114,1862,102C,13:20:50,00:00:00,G
K6112,1846,102C,13:13:00,00:00:00,G
K6110,1862,102C,13:06:50,00:00:00,G
K6108,1846,102C,12:59:00,00:00:00,G
K6106,1862,102C,12:52:50,00:00:00,G
K6104,1846,102C,12:45:00,00:00:00,G
K6102,1862,102C,12:38:50,00:00:00,G
K6100,1846,102C,12:31:00,00:00:00,G
K6098,1862,102C,12:24:50,00:00:00,G
K6096,1846,102C,12:17:00,00:00:00,G
K6094,1862,102C,12:10:50,00:00:00,G
K6092,1862,102C,12:04:50,00:00:00,G
K6090,1846,102C,11:56:00,00:00:00,G
K6088,1862,102C,11:49:50,00:00:00,G
K6086,1846,102C,11:42:00,00:00:00,G
K6084,1862,102C,11:35:50,00:00:00,G
K6082,1846,102C,11:28:00,00:00:00,G
K6274,1846,102C,24:24:00,00:00:00,G
K6272,1846,102C,24:04:00,00:00:00,G
K6270,1846,102C,23:44:00,00:00:00,G
K6268,1846,102C,23:29:00,00:00:00,G
K6266,1846,102C,23:15:00,00:00:00,G
K6264,1846,102C,23:00:00,00:00:00,G
K6080,1862,102C,11:21:50,00:00:00,G
K6078,1846,102C,11:14:00,00:00:00,G
K6076,1862,102C,11:07:50,00:00:00,G
K6074,1862,102C,11:00:50,00:00:00,G
