TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
K604,1408,0158,08:10:00,G
K624,1408,0158,11:19:30,G
K622,1728,0158,10:59:30,G
K620,1408,0158,10:41:30,G
K600,1728,0158,07:19:00,G
K618,1408,0158,10:25:30,G
K616,1728,0158,10:10:30,G
K614,1408,0158,09:53:30,G
K612,1728,0158,09:37:30,G
K610,1408,0158,09:20:30,G
K608,1408,0158,08:54:30,G
K606,1728,0158,08:35:30,G
K602,1728,0158,07:49:30,G
K704,1408,0158,23:27:30,G
K702,1728,0158,23:05:00,G
K700,1728,0158,22:46:00,G
K698,1408,0158,22:25:30,G
K696,1408,0158,22:05:00,G
K694,1408,0158,21:45:30,G
K692,1408,0158,21:25:30,G
K402,1716,0158,06:54:30,G
K690,1728,0158,21:10:00,G
K688,1408,0158,20:52:30,G
K686,1728,0158,20:37:00,G
K414,1716,0158,08:25:00,G
K684,1408,0158,20:21:30,G
K682,1728,0158,20:03:00,G
K680,1408,0158,19:48:30,G
K678,1728,0158,19:32:30,G
K676,1728,0158,19:17:00,G
K674,1408,0158,19:02:00,G
K672,1728,0158,18:45:00,G
K670,1408,0158,18:29:00,G
K668,1408,0158,18:12:00,G
K666,1728,0158,17:56:00,G
K664,1728,0158,17:40:30,G
K662,1728,0158,17:19:00,G
K660,1408,0158,16:59:00,G
K658,1728,0158,16:41:00,G
K656,1408,0158,16:16:30,G
K654,1728,0158,15:58:00,G
K652,1408,0158,15:39:30,G
K650,1728,0158,15:19:30,G
K648,1408,0158,14:58:00,G
K646,1728,0158,14:40:00,G
K644,1408,0158,14:18:30,G
K642,1728,0158,13:58:30,G
K640,1408,0158,13:39:00,G
K638,1728,0158,13:18:00,G
K636,1408,0158,13:00:00,G
K634,1408,0158,12:39:30,G
K632,1728,0158,12:17:00,G
K630,1408,0158,11:58:00,G
K628,1728,0158,11:39:30,G
K802,1701,1915,05:38:00,G
S910,0150,1019,05:43:00,G
S912,0150,1906,05:47:00,G
K804,1701,1916,05:51:00,G
S914,0150,1909,05:57:00,G
K806,1701,1916,06:06:00,G
K808,1701,1906,06:12:00,G
K2,1806,1915,06:16:00,G
K4,1812,1915,06:25:30,G
K400,1716,1019,06:30:30,G
K6,1812,1916,06:36:30,G
S922,0150,1019,06:45:00,G
K8,1812,1915,06:48:30,G
K10,1812,1915,07:00:30,G
K404,1749,1019,07:07:30,G
K12,1812,1916,07:12:30,G
K14,1812,1909,07:22:30,G
S406,1749,1019,07:27:30,G
K16,1812,1915,07:32:30,G
K408,1749,1019,07:39:00,G
K18,1812,1916,07:45:30,G
K20,1812,1909,07:55:30,G
K410,1749,1019,07:59:30,G
K22,1812,1915,08:04:30,G
K24,1812,1909,08:14:00,G
S412,1749,1019,08:17:30,G
K26,1812,1916,08:21:30,G
K28,1812,1909,08:30:30,G
K30,1812,1906,08:40:30,G
S416,1749,1019,08:45:30,G
K32,1812,1916,08:50:00,G
K34,1812,1909,08:57:30,G
S418,1749,1019,09:01:30,G
K36,1812,1916,09:06:30,G
K420,1716,1019,09:11:30,G
