TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
4002,0426,0409,05:54:00,G
4004,0434,0409,06:09:00,G
4006,0433,0409,06:21:30,G
4300K,1751,0409,06:33:00,G
4008,0433,0409,06:41:30,G
4302K,1759,0409,06:49:30,G
4304K,1759,0409,06:56:30,G
4010,0433,0409,07:02:30,G
4502K,1762,0409,07:08:30,G
4012,0433,0409,07:14:30,G
4504,1762,0409,07:20:30,G
4014,0433,0409,07:26:30,G
4506K,1762,0409,07:32:30,G
4016,0433,0409,07:38:30,G
4508K,1762,0409,07:44:30,G
4018,0433,0409,07:50:30,G
4510,1762,0409,07:56:30,G
4020,0433,0409,08:02:30,G
4512K,1762,0409,08:08:30,G
4022,0433,0409,08:14:30,G
4514K,1762,0409,08:20:30,G
4024,0433,0409,08:26:30,G
4516K,1762,0409,08:32:30,G
4306K,1759,0409,08:38:30,G
4518,1762,0409,08:44:30,G
4026,0433,0409,08:50:30,G
4520,1762,0409,08:56:30,G
4522K,1762,0409,09:02:30,G
4028,0433,0409,09:08:30,G
4524K,1762,0409,09:14:30,G
4030,0433,0409,09:20:30,G
4526,1762,0409,09:26:30,G
4032,0433,0409,09:32:30,G
4528,1762,0409,09:38:30,G
4034,0433,0409,09:43:30,G
4308,1759,0409,09:48:30,G
4530K,1762,0409,09:53:30,G
4036,0433,0409,09:58:30,G
4532,1762,0409,10:03:30,G
4038,0433,0409,10:09:30,G
4534,1762,0409,10:14:30,G
4040,0433,0409,10:20:30,G
4536,1762,0409,10:26:30,G
4042,0433,0409,10:32:30,G
4538,1762,0409,10:38:30,G
4044,0433,0409,10:44:30,G
4540K,1762,0409,10:50:30,G
4046,0433,0409,10:56:30,G
4542K,1762,0409,11:02:30,G
4544K,1762,0409,11:07:30,G
4048,0433,0409,11:13:30,G
4546K,1762,0409,11:19:30,G
4050,0433,0409,11:25:30,G
4548,1762,0409,11:31:30,G
4052,0433,0409,11:37:30,G
4550K,1762,0409,11:43:30,G
4054,0433,0409,11:48:30,G
4552K,1762,0409,11:53:30,G
4554K,1762,0409,11:58:30,G
4056,0433,0409,12:03:30,G
4556,1762,0409,12:08:30,G
4058,0433,0409,12:13:30,G
4558K,1762,0409,12:18:30,G
4560K,1762,0409,12:23:30,G
4060,0433,0409,12:28:30,G
4562K,1762,0409,12:33:30,G
4062,0433,0409,12:38:30,G
4564K,1762,0409,12:43:30,G
4566K,1762,0409,12:48:30,G
4064,0433,0409,12:53:30,G
4568K,1762,0409,12:58:30,G
4066,0433,0409,13:03:30,G
4310,1759,0409,13:08:30,G
4570K,1762,0409,13:13:30,G
4068,0433,0409,13:17:30,G
4312K,1759,0409,13:21:30,G
4070,0433,0409,13:25:30,G
4572K,1762,0409,13:29:30,G
4072,0433,0409,13:33:30,G
4574,1762,0409,13:38:30,G
4074,0433,0409,13:43:30,G
4576K,1762,0409,13:48:30,G
4076,0433,0409,13:53:30,G
4578,1762,0409,13:58:30,G
4580K,1762,0409,14:03:30,G
4078,0433,0409,14:08:30,G
4582,1762,0409,14:13:30,G
4080,0433,0409,14:17:30,G
4314K,1759,0409,14:21:30,G
4082,0433,0409,14:25:30,G
4584,1762,0409,14:29:30,G
4084,0433,0409,14:33:30,G
4586,1762,0409,14:38:30,G
4086,0433,0409,14:43:30,G
4588K,1762,0409,14:48:30,G
4590,1762,0409,14:53:30,G
4088,0433,0409,14:58:30,G
4592K,1762,0409,15:03:30,G
4090,0433,0409,15:08:30,G
4594K,1762,0409,15:13:30,G
4596K,1762,0409,15:18:30,G
4092,0433,0409,15:22:30,G
4316,1759,0409,15:26:30,G
4094,0433,0409,15:30:30,G
4598K,1762,0409,15:34:30,G
4096,0433,0409,15:38:30,G
4600,1762,0409,15:43:30,G
4098,0433,0409,15:48:30,G
4602K,1762,0409,15:53:30,G
4100,0433,0409,15:58:30,G
4604K,1762,0409,16:03:30,G
4606K,1762,0409,16:08:30,G
4102,0433,0409,16:13:30,G
4608,1762,0409,16:18:30,G
4104,0433,0409,16:22:30,G
4610K,1762,0409,16:26:30,G
4106,0433,0409,16:30:30,G
4612K,1762,0409,16:34:30,G
4108,0433,0409,16:38:30,G
4614K,1762,0409,16:43:30,G
4110,0433,0409,16:48:30,G
4616K,1762,0409,16:53:30,G
4618K,1762,0409,16:58:30,G
4112,0433,0409,17:03:30,G
4620K,1762,0409,17:08:30,G
4114,0433,0409,17:13:30,G
4318,1759,0409,17:18:30,G
4622K,1762,0409,17:23:30,G
4116,0433,0409,17:27:30,G
4320K,1759,0409,17:31:30,G
4118,0433,0409,17:35:30,G
4624K,1762,0409,17:39:30,G
4120,0433,0409,17:43:30,G
4626,1762,0409,17:48:30,G
4122,0433,0409,17:53:30,G
4628K,1762,0409,17:58:30,G
4124,0433,0409,18:03:30,G
4322,1759,0409,18:08:30,G
4630K,1762,0409,18:13:30,G
4126,0433,0409,18:18:30,G
4324,1759,0409,18:23:30,G
4632K,1762,0409,18:28:30,G
4128,0433,0409,18:33:30,G
4634,1762,0409,18:39:30,G
4130,0433,0409,18:45:30,G
4636,1762,0409,18:50:30,G
4132,0433,0409,18:55:30,G
4638K,1762,0409,19:00:30,G
4326,1759,0409,19:05:30,G
4134,0433,0409,19:10:30,G
4640K,1762,0409,19:15:30,G
4136,0433,0409,19:21:30,G
4642K,1762,0409,19:27:30,G
4138,0433,0409,19:33:30,G
4328,1759,0409,19:39:30,G
4644K,1762,0409,19:45:30,G
4140,0433,0409,19:51:30,G
4646,1762,0409,19:57:30,G
4142,0433,0409,20:03:30,G
4648K,1762,0409,20:09:30,G
4144,0433,0409,20:15:30,G
4650K,1762,0409,20:21:30,G
4146,0433,0409,20:27:30,G
4652,1762,0409,20:33:30,G
4148,0433,0409,20:39:30,G
4654K,1762,0409,20:45:30,G
4150,0433,0409,20:51:30,G
4656K,1762,0409,20:57:30,G
4152,0433,0409,21:03:30,G
4658K,1762,0409,21:09:30,G
4154,0433,0409,21:15:30,G
4660K,1762,0409,21:21:30,G
4662K,1762,0409,21:27:30,G
4156,0433,0409,21:33:30,G
4664K,1762,0409,21:39:30,G
4158,0433,0409,21:45:30,G
4666K,1762,0409,21:51:30,G
4160,0433,0409,21:57:30,G
4668,1762,0409,22:03:30,G
4162,0433,0409,22:09:30,G
4670K,1762,0409,22:15:30,G
4164,0433,0409,22:21:30,G
4672,1762,0409,22:27:30,G
4166,0433,0409,22:33:30,G
4674K,1762,0409,22:39:30,G
4168,0433,0409,22:45:30,G
4676,1762,0409,22:51:30,G
4170,0433,0409,22:57:30,G
4678,1762,0409,23:03:30,G
4172,0433,0409,23:11:30,G
4680,1762,0409,23:19:30,G
4174,0433,0409,23:27:30,G
4682K,1762,0409,23:35:30,G
4176,0433,0409,23:43:30,G
4684,1762,0409,23:51:30,G
