TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K5301,1284,100C,09:00:00,00:00:00,G
K5303,1284,100C,18:50:30,00:00:00,G
K5003,100C,1219,00:00:00,05:34:00,G
K5005,100C,1220,00:00:00,05:53:00,G
K5007,1271,1208,06:23:00,06:23:30,G
K5009,1284,1219,06:30:00,06:30:30,G
K5011,1271,1210,06:45:30,06:46:00,G
K5013,1284,1219,07:00:30,07:01:00,G
K5015,1284,1208,07:17:00,07:17:30,G
K5017,1284,1219,07:30:00,07:30:30,G
K5019,1284,1208,07:45:00,07:45:30,G
K5021,1284,1219,08:01:00,08:01:30,G
K5023,1284,1208,08:23:30,08:24:00,G
K5025,1284,1219,08:33:30,08:34:00,G
K5027,1284,1220,08:50:30,08:51:00,G
K5029,1284,1208,09:08:00,09:08:30,G
K5031,1284,1208,09:24:30,09:25:00,G
K5033,1284,1219,09:33:00,09:33:30,G
K5035,1284,1208,09:55:00,09:55:30,G
K5037,1284,1219,10:11:30,10:12:00,G
K5039,1284,1208,10:19:00,10:19:30,G
K5041,1284,1219,10:36:00,10:36:30,G
K5043,1284,1208,10:48:00,10:48:30,G
K5045,1284,1219,11:09:00,11:09:30,G
K5047,1284,1208,11:16:00,11:16:30,G
K5049,1284,1219,11:33:30,11:34:00,G
K5051,1284,1210,11:47:00,11:47:30,G
K5053,1284,1219,12:04:00,12:08:00,G
K5055,1284,1208,12:19:00,12:19:30,G
K5057,1284,1219,12:34:00,12:34:30,G
K5059,1284,1208,12:46:00,12:46:30,G
K5061,1284,1219,13:08:30,13:09:00,G
K5063,1284,1208,13:18:00,13:18:30,G
K5065,1284,1219,13:36:30,13:37:00,G
K5067,1284,1208,13:47:00,13:47:30,G
K5069,1284,1219,14:01:30,14:02:00,G
K5071,1284,1208,14:20:00,14:20:30,G
K5073,1284,1220,14:33:00,14:33:30,G
K5075,1284,1208,14:50:00,14:50:30,G
K5077,1284,1219,15:02:00,15:02:30,G
K5079,1284,1208,15:18:30,15:19:00,G
K5081,1284,1219,15:31:00,15:31:30,G
K5083,1284,1208,15:52:30,15:53:00,G
K5085,1284,1219,16:04:00,16:07:30,G
K5087,1284,1208,16:18:00,16:18:30,G
K5089,1284,1219,16:35:30,16:36:00,G
K5091,1284,1208,16:46:30,16:47:00,G
K5093,1284,1220,17:00:30,17:01:00,G
K5095,1284,1208,17:15:30,17:16:00,G
K5097,1284,1219,17:37:30,17:38:00,G
K5099,1284,1210,17:46:00,17:46:30,G
K5101,1284,1219,18:04:00,18:07:30,G
K5103,1284,1208,18:16:00,18:16:30,G
K5105,1284,1219,18:29:30,18:30:00,G
K5107,1284,1208,18:43:30,18:44:00,G
K5109,1284,1219,19:09:00,19:09:30,G
K5111,1284,1208,19:20:00,19:20:30,G
K5113,1284,1219,19:34:00,19:34:30,G
K5115,1284,1208,19:46:30,19:47:00,G
K5117,1284,1219,20:11:00,20:11:30,G
K5119,1284,1208,20:21:00,20:21:30,G
K5121,1284,1219,20:37:00,20:37:30,G
K5123,1284,1208,20:50:30,20:51:00,G
K5125,1284,1219,21:08:30,21:09:00,G
K5127,1284,1208,21:24:00,21:24:30,G
K5129,1284,1219,21:30:00,21:30:30,G
K5131,1284,1219,21:48:00,21:48:30,G
K5133,1284,1208,22:01:00,22:01:30,G
K5135,1284,1219,22:19:00,22:19:30,G
K5137,1284,1219,22:37:00,22:37:30,G
K5139,1284,1208,23:00:00,23:00:30,G
K5141,1284,1219,23:13:00,23:13:30,G
K5143,1284,1208,23:37:00,23:37:30,G
K5145,1284,1014,24:04:00,24:04:30,G
