TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K5001,1014,1219,05:12:30,05:13:00,G
K5003,100C,1219,05:24:00,05:24:30,G
K5005,100C,1219,05:53:30,05:54:00,G
K5007,100C,1219,06:11:30,06:12:00,G
K5009,1284,1220,06:32:00,06:32:30,G
K5011,1271,1219,06:45:00,06:45:30,G
K5013,1284,1210,06:57:00,06:57:30,G
K5015,1284,1219,07:09:30,07:10:00,G
K5017,1284,1219,07:30:00,07:30:30,G
K5019,1284,1219,07:34:30,07:35:00,G
K5701,1284,1210,07:43:30,07:44:00,D
K5021,1284,1219,07:54:30,07:55:00,G
K5023,1284,1210,08:04:00,08:04:30,G
K5703,1284,1208,08:09:00,08:09:30,D
K5025,1284,1219,08:20:30,08:21:00,G
K5705,1284,1208,08:33:00,08:33:30,D
K5027,1284,1219,08:44:00,08:44:30,G
K5029,1275,1219,08:50:00,08:50:30,G
K5031,1284,1220,09:01:30,09:02:00,G
K5033,1284,1208,09:08:30,09:09:00,G
K5035,1267,1219,09:29:30,09:30:00,G
K5037,1284,1208,09:38:00,09:38:30,G
K5039,1284,1219,09:47:00,09:47:30,G
K5041,1267,1208,10:01:00,10:01:30,G
K5043,1284,1219,10:09:00,10:09:30,G
K5045,1284,1219,10:29:00,10:29:30,G
K5047,1284,1208,10:40:00,10:40:30,G
K5049,1275,1219,10:49:00,10:49:30,G
K5051,1284,1208,11:03:30,11:04:00,G
K5053,1284,1219,11:15:30,11:16:00,G
K5055,1284,1208,11:34:00,11:34:30,G
K5057,100C,1219,11:42:00,11:42:30,G
K5059,1284,1208,11:56:00,11:56:30,G
K5061,1284,1219,12:13:00,12:13:30,G
K5063,1284,1208,12:34:00,12:34:30,G
K5065,1284,1219,12:51:30,12:52:00,G
K5067,1284,1208,13:07:30,13:08:00,G
K5069,1284,1219,13:29:30,13:30:00,G
K5071,1284,1208,13:42:10,13:42:40,G
K5073,1284,1219,13:57:40,13:58:10,G
K5075,1284,1208,14:09:30,14:10:00,G
K5077,1284,1219,14:34:30,14:35:00,G
K5079,1275,1208,14:42:00,14:42:30,G
K5081,1284,1219,14:54:30,14:55:00,G
K5083,1284,1208,15:04:30,15:05:00,G
K5085,1284,1220,15:20:00,15:20:30,G
K5087,1284,1208,15:42:00,15:42:30,G
K5089,1275,1208,15:52:00,15:52:30,G
K5091,1284,1219,16:00:00,16:00:30,G
K5093,1284,1208,16:13:00,16:13:30,G
K5095,1284,1219,16:32:00,16:32:30,G
K5097,1284,1210,16:45:00,16:45:30,G
K5099,1284,1219,16:59:00,16:59:30,G
K5101,1284,1208,17:13:00,17:13:30,G
K5103,1284,1219,17:33:30,17:34:00,G
K5105,1284,1208,17:41:00,17:41:30,G
K5107,1284,1219,17:53:30,17:54:00,G
K5109,1284,1208,18:07:30,18:08:00,G
K5111,1284,1220,18:16:30,18:17:00,G
K5113,100C,1208,18:30:30,18:31:00,G
K5115,1284,1210,18:35:30,18:36:00,G
K5117,1267,1219,18:49:00,18:49:30,G
K5119,1284,1208,18:55:30,18:56:00,G
K5707,1284,1219,19:11:30,19:12:00,D
K5123,1284,1208,19:31:00,19:31:30,G
K5125,1284,1208,19:36:00,19:36:30,G
K5127,1284,1219,19:46:00,19:46:30,G
K5851,1284,1219,19:51:00,19:51:30,D
K5129,1284,1219,19:59:00,19:59:30,G
K5133,1284,1208,20:06:00,20:06:30,G
K5135,1284,1219,20:30:00,20:30:30,G
K5137,100C,1208,20:36:00,20:36:30,G
K5139,1284,1219,20:44:30,20:45:00,G
K5141,1284,1219,21:01:30,21:02:00,G
K5143,1275,1208,21:14:30,21:15:00,G
K5145,1284,1219,21:36:00,21:36:30,G
K5147,1284,1219,21:55:30,21:56:00,G
K5149,1284,1208,22:07:00,22:07:30,G
K5853,1284,1219,22:19:00,22:19:30,D
K5151,1284,1219,22:33:00,22:33:30,G
K5153,1284,1208,22:41:30,22:42:00,G
K5155,1275,1219,22:51:30,22:52:00,G
K5157,1284,1208,22:57:30,22:58:00,G
K5159,1275,1219,23:16:00,23:16:30,G
K5161,1284,1208,23:28:00,23:28:30,G
K5163,1284,1219,23:42:00,23:42:30,G
K5167,1284,1208,24:15:00,24:15:30,G
