TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K5272,1208,100C,19:59:00,00:00:00,G
K5112,1208,100C,17:43:00,00:00:00,G
K5054,1219,100C,10:51:00,00:00:00,G
K5164,1219,100C,23:51:30,00:00:00,G
K5168,1219,100C,24:28:00,00:00:00,G
K5002,1014,1284,05:21:00,05:21:30,G
K5004,1208,1284,05:49:00,05:49:30,G
K5006,1014,1284,06:00:30,06:01:00,G
K5008,1210,1284,06:11:00,06:11:30,G
K5010,1219,1284,06:38:30,06:39:00,G
K5012,1219,1275,06:49:00,06:49:30,G
K5014,1219,1284,06:59:30,07:00:00,G
K5016,1219,1284,07:10:00,07:10:30,G
K5018,1219,1284,07:26:00,07:26:30,G
K5020,1219,1284,07:39:00,07:39:30,G
K5702,1219,1284,07:50:00,07:50:30,D
K5024,1219,1284,07:55:00,07:55:30,G
K5026,1219,1284,08:05:00,08:05:30,G
K5852,1219,1267,08:12:00,08:12:30,D
K5704,1219,1284,08:20:00,08:20:30,D
K5032,1219,1284,08:24:00,08:24:30,G
K5034,1219,1275,08:40:00,08:40:30,G
K5036,1210,1284,08:49:00,08:49:30,G
K5854,1219,1267,08:52:30,08:53:00,D
K5038,1219,1284,09:06:00,09:06:30,G
K5040,1219,1284,09:12:00,09:12:30,G
K5042,1219,1284,09:17:00,09:17:30,G
K5302,100C,1284,00:00:00,09:23:00,G
K5044,1210,1284,09:29:30,09:30:00,G
K5246,1208,1284,09:42:30,09:43:00,G
K5046,1220,1284,09:55:00,09:55:30,G
K5048,1210,1284,10:04:00,10:04:30,G
K5050,1219,1284,10:16:00,10:16:30,G
K5052,1208,1284,10:35:30,10:36:00,G
K5056,1208,1284,11:03:00,11:03:30,G
K5058,1219,1284,11:16:00,11:16:30,G
K5060,1208,1284,11:33:00,11:33:30,G
K5062,1219,1284,11:52:00,11:52:30,G
K5064,1208,1284,12:06:30,12:07:00,G
K5066,1220,1284,12:18:00,12:18:30,G
K5068,1208,1275,12:38:00,12:38:30,G
K5070,1219,1284,12:50:00,12:50:30,G
K5072,1208,1284,13:03:30,13:04:00,G
K5074,1219,1284,13:15:30,13:16:00,G
K5076,1208,1275,13:37:00,13:37:30,G
K5078,1219,1284,13:50:30,13:51:00,G
K5080,1208,1284,14:04:30,14:05:00,G
K5082,1219,1284,14:18:30,14:19:00,G
K5084,1208,1284,14:37:30,14:38:00,G
K5086,1219,1284,14:49:30,14:50:00,G
K5088,1208,1284,15:06:30,15:07:00,G
K5090,1219,1284,15:20:30,15:21:00,G
K5092,1208,1284,15:41:30,15:42:00,G
K5094,1219,1284,15:54:30,15:55:00,G
K5096,1208,1284,16:12:00,16:12:30,G
K5098,1219,1284,16:19:30,16:20:00,G
K5100,1208,1284,16:33:30,16:34:00,G
K5102,1219,1284,16:53:30,16:54:00,G
K5104,1208,1284,17:06:30,17:07:00,G
K5106,1219,1267,17:15:00,17:15:30,G
K5108,1208,1284,17:25:00,17:25:30,G
K5110,1219,1284,17:38:30,17:39:00,G
K5114,1219,1284,17:56:00,17:56:30,G
K5116,1208,1284,18:03:00,18:03:30,G
K5118,1219,1284,18:14:30,18:15:00,G
K5706,1210,1284,18:32:30,18:33:00,D
K5120,1220,1275,18:38:00,18:38:30,G
K5122,1208,1284,18:49:30,18:50:00,G
K5124,1219,1284,18:55:30,18:56:00,G
K5708,1208,1284,19:05:30,19:06:00,D
K5126,1219,1284,19:17:30,19:18:00,G
K5304,100C,1284,00:00:00,19:28:00,G
K5128,1208,1284,19:40:30,19:41:00,G
K5130,1219,1284,19:50:00,19:50:30,G
K5132,1219,1284,20:10:30,20:11:00,G
K5134,1210,1275,20:18:00,20:18:30,G
K5136,1219,1284,20:25:30,20:26:00,G
K5138,1208,1284,20:40:00,20:40:30,G
K5140,1219,1284,20:50:00,20:50:30,G
K5142,1208,1284,21:10:00,21:10:30,G
K5144,1014,1275,21:16:30,21:17:00,G
K5146,1219,1284,21:26:30,21:27:00,G
K5148,1208,1275,21:39:00,21:39:30,G
K5150,1220,1284,21:49:30,21:50:00,G
K5152,1219,1284,22:09:00,22:09:30,G
K5154,1219,1284,22:20:30,22:21:00,G
K5156,1208,1284,22:49:30,22:50:00,G
K5158,1219,1271,22:57:20,22:57:50,G
K5160,1219,1284,23:16:00,23:16:30,G
K5162,1208,1284,23:37:30,23:38:00,G
K5166,1208,1271,24:11:00,24:11:30,G
