TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K6015,102C,1846,00:00:00,05:13:00,G
K6019,102C,1846,00:00:00,05:25:00,G
K6023,102C,1846,00:00:00,05:36:00,G
K6029,102C,1846,00:00:00,05:54:00,G
K6033,102C,1846,00:00:00,06:08:00,G
K6037,102C,1846,00:00:00,06:17:00,G
K6041,102C,1846,00:00:00,06:28:00,G
K6043,102C,1846,00:00:00,06:36:00,G
K6403,102C,1846,00:00:00,06:48:00,D
K6047,102C,1846,00:00:00,06:55:00,G
K6049,102C,1846,00:00:00,07:02:00,G
K6051,102C,1846,00:00:00,07:10:00,G
K6053,102C,1846,00:00:00,07:17:00,G
K6055,102C,1846,00:00:00,07:24:00,G
K6405,102C,1846,00:00:00,07:30:00,D
K6059,102C,1846,00:00:00,07:36:00,G
K6061,102C,1846,00:00:00,07:42:00,G
K6063,102C,1846,00:00:00,07:48:00,G
K6065,102C,1846,00:00:00,07:53:00,G
K6067,1845,1862,07:57:00,07:57:30,G
K6069,102C,1846,00:00:00,08:03:00,G
K6071,102C,1862,00:00:00,08:08:00,G
K6073,102C,1846,00:00:00,08:12:00,G
K6491,102C,1862,00:00:00,08:16:00,G
K6075,102C,1862,00:00:00,08:20:00,G
K6077,102C,1846,00:00:00,08:24:00,G
K6079,102C,1862,00:00:00,08:28:00,G
K6081,102C,1862,00:00:00,08:32:00,G
K6083,102C,1846,00:00:00,08:36:00,G
K6085,102C,1862,00:00:00,08:40:00,G
K6087,102C,1862,00:00:00,08:44:00,G
K6089,102C,1846,00:00:00,08:48:00,G
K6393,102C,1862,00:00:00,08:52:00,G
K6091,102C,1862,00:00:00,08:56:00,G
K6093,102C,1862,00:00:00,09:00:00,G
K6095,102C,1846,00:00:00,09:04:00,G
K6097,102C,1862,00:00:00,09:08:00,G
K6099,102C,1862,00:00:00,09:12:00,G
K6101,102C,1846,00:00:00,09:16:00,G
K6103,102C,1862,00:00:00,09:20:00,G
K6105,102C,1862,00:00:00,09:25:00,G
K6107,102C,1862,00:00:00,09:30:00,G
K6109,102C,1846,00:00:00,09:34:00,G
K6111,102C,1862,00:00:00,09:40:00,G
K6113,102C,1862,00:00:00,09:46:00,G
K6115,1845,1846,09:52:00,09:52:30,G
K6117,102C,1862,00:00:00,09:58:00,G
K6121,102C,1846,00:00:00,10:05:00,G
K6123,102C,1862,00:00:00,10:12:00,G
K6125,102C,1846,00:00:00,10:20:00,G
K6127,102C,1862,00:00:00,10:27:00,G
K6129,102C,1846,00:00:00,10:36:00,G
K6131,102C,1862,00:00:00,10:44:00,G
K6133,1845,1846,10:55:00,10:55:30,G
K6135,102C,1862,00:00:00,11:01:00,G
K6137,102C,1846,00:00:00,11:08:00,G
K6139,102C,1862,00:00:00,11:16:00,G
K6141,102C,1846,00:00:00,11:24:00,G
K6143,102C,1862,00:00:00,11:32:00,G
K6145,102C,1846,00:00:00,11:40:00,G
K6147,102C,1862,00:00:00,11:49:00,G
K6149,102C,1846,00:00:00,11:58:00,G
K6151,1845,1862,12:05:00,12:05:30,G
K6153,102C,1846,00:00:00,12:12:00,G
K6155,102C,1862,00:00:00,12:20:00,G
K6157,102C,1846,00:00:00,12:29:00,G
K6159,102C,1862,00:00:00,12:37:00,G
K6161,102C,1846,00:00:00,12:46:00,G
K6163,1845,1862,12:54:00,12:54:30,G
K6165,102C,1846,00:00:00,13:01:00,G
K6167,102C,1862,00:00:00,13:08:00,G
K6169,102C,1846,00:00:00,13:16:00,G
K6171,102C,1862,00:00:00,13:23:00,G
K6173,102C,1846,00:00:00,13:32:00,G
K6175,102C,1862,00:00:00,13:40:00,G
K6177,102C,1846,00:00:00,13:48:00,G
K6179,102C,1862,00:00:00,13:56:00,G
K6181,102C,1846,00:00:00,14:04:00,G
