TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K600,1728,1019,05:40:00,05:40:30,G
K602,1728,0158,05:55:00,05:55:30,G
K604,1728,1019,06:08:00,06:08:30,G
K1902,1728,0150,06:21:00,06:21:30,D
K606,1408,0158,06:18:30,06:23:00,G
K610,1728,1019,06:49:00,06:49:30,G
K1904,1728,0150,07:06:30,07:07:00,D
K612,1408,1019,07:04:30,07:08:30,G
K614,1408,1019,07:29:00,07:29:30,G
K616,1728,0158,07:43:30,07:44:00,G
K618,1408,0158,07:59:30,08:00:00,G
K1906,1408,0150,08:07:00,08:07:30,D
K620,1728,0158,08:14:00,08:14:30,G
K622,1728,0158,08:32:00,08:32:30,G
K1908,1408,1003,08:43:00,08:43:30,D
K624,1728,0158,09:02:30,09:03:00,G
K626,1408,1716,09:09:00,09:09:30,G
K628,1408,0158,09:21:00,09:21:30,G
K630,1728,0158,09:42:00,09:42:30,G
K632,1408,1716,09:54:30,09:55:00,G
K634,1728,0158,10:03:00,10:03:30,G
K636,1728,0158,10:21:00,10:21:30,G
K1910,1408,1003,10:30:00,10:30:30,D
K638,1728,0158,10:41:00,10:41:30,G
K640,1408,0158,10:55:30,10:56:00,G
K1912,1728,1003,11:01:30,11:02:00,D
K642,1728,0158,11:22:00,11:22:30,G
K644,1408,0158,11:41:30,11:42:00,G
K646,1728,0158,12:01:00,12:01:30,G
K648,1408,0158,12:19:00,12:19:30,G
K1914,1728,1003,12:37:00,12:37:30,D
K650,1408,0158,12:34:30,12:39:30,G
K652,1408,0158,12:59:30,13:00:00,G
K654,1408,0158,13:21:00,13:21:30,G
K1916,1728,1003,13:30:30,13:31:00,D
K656,1728,0158,13:42:00,13:42:30,G
K658,1408,1716,13:52:00,13:52:30,G
K660,1408,0158,14:01:30,14:02:00,G
K662,1728,0158,14:19:00,14:19:30,G
K664,1408,0158,14:41:00,14:41:30,G
K1918,1728,1003,14:48:30,14:49:00,D
K666,1728,0158,15:01:00,15:01:30,G
K668,1408,0158,15:20:30,15:21:00,G
K1920,1728,1003,15:31:30,15:32:00,D
K670,1728,0158,15:42:00,15:42:30,G
K672,1408,0158,16:01:30,16:02:00,G
K674,1728,0158,16:13:00,16:13:30,G
K676,1408,0158,16:30:00,16:30:30,G
K678,1728,0158,16:51:00,16:51:30,G
K680,1728,0158,17:06:00,17:06:30,G
K682,1408,0158,17:19:00,17:19:30,G
K1922,1728,1003,17:24:00,17:24:30,D
K684,1728,0158,17:37:00,17:37:30,G
K686,1728,0158,17:53:00,17:53:30,G
K1924,1408,1003,18:01:00,18:01:30,D
K688,1728,0158,18:09:00,18:09:30,G
K690,1728,0158,18:23:30,18:24:00,G
K692,1408,0158,18:40:30,18:41:00,G
K694,1728,0158,18:54:00,18:54:30,G
K1926,1728,1003,18:58:30,18:59:00,D
K696,1408,0158,19:14:30,19:15:00,G
K698,1728,0158,19:29:00,19:29:30,G
K700,1408,0158,19:47:30,19:48:00,G
K702,1408,0158,20:07:00,20:07:30,G
K704,1408,0158,20:22:30,20:23:00,G
K1928,1728,1003,20:26:00,20:26:30,D
K706,1728,0158,20:47:00,20:47:30,G
K708,1408,0158,20:58:30,20:59:00,G
K710,1728,0158,21:16:00,21:16:30,G
K712,1408,1716,21:22:30,21:23:00,G
K1930,1408,1003,21:36:00,21:36:30,D
K714,1728,0158,21:46:00,21:46:30,G
K716,1728,0158,21:59:00,21:59:30,G
K718,1408,1019,22:09:30,22:10:00,G
K720,1728,1701,22:29:00,22:29:30,G
K722,1408,1701,22:46:30,22:47:00,G
K724,1728,1716,22:57:00,22:57:30,G
K726,1408,1701,23:11:30,23:12:00,G
K728,1728,1716,23:21:00,23:21:30,G
K730,1408,1701,23:30:30,23:31:00,G
K732,1728,1716,23:50:00,23:50:30,G
K736,1408,1716,24:11:00,24:11:30,G
