TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
K802,1701,1915,05:08:00,G
K804,1701,1916,05:21:00,G
K806,1701,1916,05:36:00,G
K808,1701,1906,05:42:00,G
K2,1806,1915,05:46:00,G
K1002,1804,1003,05:52:30,D
K4,1812,1915,05:55:30,G
K400,1716,1019,06:00:30,G
K6,1812,1916,06:06:30,G
K1004,1811,1003,06:10:00,D
K8,1812,1915,06:18:30,G
K402,1716,0158,06:24:30,G
K1006,1811,1003,06:27:00,D
K10,1812,1915,06:30:30,G
K404,1749,1019,06:37:30,G
K1008,1811,1003,06:42:00,D
K12,1812,1916,06:42:30,G
K600,1728,0158,06:49:00,G
K14,1812,1909,06:52:30,G
S406,1749,1019,06:57:30,G
K1010,1811,1003,06:59:00,D
K16,1812,1915,07:02:30,G
K408,1749,1019,07:09:00,G
K18,1812,1916,07:15:30,G
K1012,1811,1003,07:16:00,D
K602,1728,0158,07:19:30,G
K20,1812,1909,07:25:30,G
K410,1749,1019,07:29:30,G
K1014,1811,1003,07:33:00,D
K22,1812,1915,07:34:30,G
K604,1408,0158,07:40:00,G
K24,1812,1909,07:44:00,G
S412,1749,1019,07:47:30,G
K1016,1811,1003,07:49:00,D
K26,1812,1916,07:51:30,G
K414,1716,0158,07:55:00,G
K28,1812,1909,08:00:30,G
K606,1728,0158,08:05:00,G
K1018,1811,1003,08:05:00,D
K30,1812,1906,08:10:30,G
K1402,1701,1003,08:13:00,D
S416,1749,1019,08:15:30,G
K32,1812,1916,08:20:00,G
K1020,1811,1003,08:23:00,D
K608,1408,0158,08:24:30,G
K34,1812,1909,08:27:30,G
S418,1749,1019,08:31:30,G
K36,1812,1916,08:36:30,G
K1022,1811,1003,08:40:00,D
K420,1716,1019,08:41:30,G
K38,1812,1909,08:46:30,G
K610,1408,0158,08:50:30,G
S40,1812,1906,08:54:30,G
K1024,1811,1003,08:58:00,D
K422,1749,1019,08:59:00,G
K42,1812,1916,09:03:30,G
K612,1728,0158,09:07:30,G
K44,1812,1909,09:11:30,G
K1026,1811,1003,09:15:00,D
S424,1749,1019,09:15:30,G
K46,1812,1022,09:19:30,G
K614,1408,0158,09:23:30,G
K48,1812,1019,09:27:30,G
S426,1749,0159,09:31:30,G
K1028,1811,1003,09:31:30,D
K1908,1728,1003,09:35:30,D
K50,1812,1916,09:35:30,G
K616,1728,0158,09:40:30,G
S52,1812,1909,09:44:30,G
K428,1749,1019,09:48:30,G
K1030,1811,1003,09:50:00,D
K54,1812,1906,09:51:30,G
K618,1408,0158,09:55:30,G
S56,1812,1909,09:59:30,G
K430,1749,1019,10:03:30,G
K58,1812,1916,10:07:30,G
K620,1408,0158,10:11:30,G
K60,1812,1022,10:15:30,G
S432,1749,0159,10:19:30,G
K1034,1811,1003,10:21:00,D
K62,1812,1906,10:24:30,G
K622,1728,0158,10:29:30,G
K64,1812,1022,10:34:30,G
K1036,1811,1003,10:35:00,D
K434,1749,1019,10:39:30,G
K66,1812,1916,10:44:30,G
K1038,1811,1003,10:49:00,D
K624,1408,0158,10:49:30,G
K68,1812,1909,10:54:30,G
S436,1749,0159,10:59:30,G
K1040,1811,1003,11:01:00,D
K70,1812,1906,11:03:30,G
K628,1728,0158,11:09:30,G
K72,1812,1916,11:14:30,G
K820,1701,1019,11:20:00,G
K74,1812,1909,11:23:30,G
K630,1408,0158,11:27:30,G
K1044,1811,1003,11:28:00,D
K1910,1408,1003,11:32:30,D
K76,1812,1906,11:32:30,G
K440,1716,1019,11:37:00,G
K78,1812,1916,11:42:30,G
K1046,1811,1003,11:45:00,D
K632,1728,0158,11:47:00,G
K80,1812,1909,11:52:30,G
K1048,1811,1003,11:57:00,D
S442,1749,1019,11:57:30,G
K1912,1728,1003,12:01:30,D
S82,1812,1906,12:03:30,G
K634,1408,0158,12:09:30,G
K84,1812,1916,12:14:30,G
S444,1749,1019,12:19:30,G
K1052,1811,1003,12:23:00,D
K86,1812,1909,12:24:30,G
K636,1408,0158,12:30:00,G
K88,1812,1906,12:34:30,G
K1054,1811,1003,12:37:00,D
K446,1749,1019,12:39:00,G
K90,1812,1916,12:43:30,G
K1056,1811,1003,12:47:00,D
K638,1728,0158,12:48:00,G
K1952,1728,1003,12:51:30,D
S92,1812,1909,12:53:30,G
K448,1749,1019,12:58:00,G
K1058,1811,1003,13:02:00,D
K94,1812,1906,13:03:30,G
K640,1408,0158,13:09:00,G
K96,1812,1916,13:14:30,G
K450,1749,1019,13:19:30,G
S98,1812,1909,13:24:30,G
K1062,1811,1003,13:26:00,D
K642,1728,0158,13:28:30,G
K1914,1728,1003,13:32:30,D
K100,1812,1906,13:34:30,G
K452,1749,1019,13:39:00,G
K1064,1811,1003,13:41:00,D
K102,1812,1916,13:43:30,G
K644,1408,0158,13:48:30,G
K1066,1811,1003,13:53:00,D
K104,1812,1909,13:53:30,G
K454,1749,1019,13:58:00,G
