TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K1117,1003,1811,17:34:00,00:00:00,D
K1321,1003,1811,19:38:00,00:00:00,D
K1319,1003,1811,19:06:00,00:00:00,D
K1317,1003,1811,18:35:30,00:00:00,D
K1315,1003,1811,16:46:00,00:00:00,D
K1313,1003,1811,15:34:00,00:00:00,D
K1311,1003,1811,14:48:00,00:00:00,D
K1309,1003,1811,13:42:00,00:00:00,D
K1307,1003,1811,12:58:00,00:00:00,D
K1305,1003,1811,11:46:00,00:00:00,D
K1303,1003,1811,11:09:00,00:00:00,D
K1301,1003,1811,09:56:00,00:00:00,D
K1267,1003,1811,23:50:00,00:00:00,D
K1203,1701,1811,17:11:00,00:00:00,D
K1201,1003,1811,10:42:00,00:00:00,D
K1199,1003,1811,23:31:00,00:00:00,D
K1197,1003,1811,23:19:00,00:00:00,D
K1195,1003,1811,23:03:00,00:00:00,D
K1193,1003,1811,22:48:00,00:00:00,D
K1191,1003,1811,22:34:00,00:00:00,D
K1189,1003,1811,22:22:00,00:00:00,D
K1187,1003,1811,22:15:15,00:00:00,D
K1185,1003,1811,22:03:00,00:00:00,D
K1183,1003,1811,21:47:00,00:00:00,D
K1181,1003,1811,21:38:00,00:00:00,D
K1179,1003,1811,21:28:00,00:00:00,D
K1177,1003,1811,21:20:00,00:00:00,D
K1175,1003,1811,21:12:00,00:00:00,D
K1173,1003,1811,21:02:00,00:00:00,D
K1171,1003,1811,20:53:00,00:00:00,D
K1169,1003,1811,20:45:00,00:00:00,D
K1167,1003,1811,20:33:00,00:00:00,D
K1165,1003,1811,20:26:00,00:00:00,D
K1161,1003,1811,20:11:00,00:00:00,D
K1157,1003,1811,19:54:00,00:00:00,D
K1155,1003,1811,19:48:00,00:00:00,D
K1151,1003,1811,19:34:30,00:00:00,D
K1149,1003,1811,19:30:00,00:00:00,D
K1147,1003,1811,19:21:30,00:00:00,D
K1145,1003,1811,19:17:00,00:00:00,D
K1141,1003,1811,19:00:00,00:00:00,D
K1139,1003,1811,18:55:00,00:00:00,D
K1137,1003,1811,18:47:00,00:00:00,D
K1133,1003,1811,18:32:30,00:00:00,D
K1115,1701,1811,17:27:00,00:00:00,D
K1113,1003,1811,17:18:00,00:00:00,D
K1111,1003,1811,17:04:00,00:00:00,D
K1107,1003,1811,16:27:00,00:00:00,D
K1105,1003,1811,16:04:00,00:00:00,D
K1103,1701,1811,15:49:00,00:00:00,D
K1099,1701,1811,15:25:00,00:00:00,D
K1097,1003,1811,15:14:00,00:00:00,D
