TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
8003,2811,2827,05:42:10,G
8005,2811,2827,05:52:00,G
8007,2811,2827,06:02:00,G
8009,2811,2827,06:12:00,G
8011,2811,2827,06:22:00,G
8013,2811,2827,06:32:00,G
8015,2811,2827,06:41:00,G
8017,2811,2827,06:50:00,G
8019,2811,2827,06:59:00,G
8021,2811,2827,07:07:00,G
8023,2811,2827,07:15:00,G
8025,2811,2827,07:23:00,G
8027,2811,2827,07:31:00,G
8029,2811,2827,07:39:00,G
8031,2811,2827,07:47:00,G
8033,2811,2827,07:55:00,G
8035,2811,2827,08:03:00,G
8037,2811,2827,08:11:00,G
8039,2811,2827,08:19:00,G
8041,2811,2827,08:27:00,G
8043,2811,2827,08:35:00,G
8045,2811,2827,08:43:00,G
8047,2811,2827,08:51:00,G
8049,2811,2827,08:59:00,G
8051,2811,2827,09:07:00,G
8053,2811,2827,09:15:00,G
8055,2811,2827,09:23:00,G
8057,2811,2827,09:31:00,G
8059,2811,2827,09:39:00,G
8061,2811,2827,09:47:00,G
8063,2811,2827,09:55:00,G
8065,2811,2827,10:03:00,G
8067,2811,2827,10:11:00,G
8069,2811,2827,10:19:00,G
8071,2811,2827,10:27:00,G
8073,2811,2827,10:35:00,G
8075,2811,2827,10:43:00,G
8077,2811,2827,10:51:00,G
8079,2811,2827,10:59:00,G
8081,2811,2827,11:07:00,G
8083,2811,2827,11:15:00,G
8085,2811,2827,11:23:00,G
8087,2811,2827,11:31:00,G
8089,2811,2827,11:39:00,G
8091,2811,2827,11:47:00,G
8093,2811,2827,11:55:00,G
8095,2811,2827,12:03:00,G
8097,2811,2827,12:11:00,G
8099,2811,2827,12:19:00,G
8101,2811,2827,12:27:00,G
8103,2811,2827,12:35:00,G
8105,2811,2827,12:43:00,G
8107,2811,2827,12:51:00,G
8109,2811,2827,12:59:00,G
8111,2811,2827,13:07:00,G
8113,2811,2827,13:15:00,G
8115,2811,2827,13:23:00,G
8117,2811,2827,13:31:00,G
8119,2811,2827,13:39:00,G
8121,2811,2827,13:47:00,G
8123,2811,2827,13:55:00,G
8125,2811,2827,14:03:00,G
8127,2811,2827,14:11:00,G
8129,2811,2827,14:19:00,G
8131,2811,2827,14:27:00,G
8133,2811,2827,14:35:00,G
8135,2811,2827,14:43:00,G
8137,2811,2827,14:51:00,G
8139,2811,2827,14:59:00,G
8141,2811,2827,15:07:00,G
8143,2811,2827,15:15:00,G
8145,2811,2827,15:23:00,G
8147,2811,2827,15:31:00,G
8149,2811,2827,15:39:00,G
8151,2811,2827,15:47:00,G
8153,2811,2827,15:55:00,G
8155,2811,2827,16:03:00,G
8157,2811,2827,16:11:00,G
8159,2811,2827,16:19:00,G
8161,2811,2827,16:27:00,G
8163,2811,2827,16:35:00,G
8165,2811,2827,16:43:00,G
8167,2811,2827,16:51:00,G
8169,2811,2827,16:59:00,G
8171,2811,2827,17:07:00,G
8173,2811,2827,17:15:00,G
8175,2811,2827,17:23:00,G
8177,2811,2827,17:31:00,G
8179,2811,2827,17:39:00,G
8181,2811,2827,17:47:00,G
8183,2811,2827,17:55:00,G
8185,2811,2827,18:03:00,G
8187,2811,2827,18:11:00,G
8189,2811,2827,18:19:00,G
8191,2811,2827,18:27:00,G
8193,2811,2827,18:35:00,G
8195,2811,2827,18:43:00,G
8197,2811,2827,18:51:00,G
8199,2811,2827,18:59:00,G
8201,2811,2827,19:07:00,G
8203,2811,2827,19:15:00,G
8205,2811,2827,19:23:00,G
8207,2811,2827,19:31:00,G
8209,2811,2827,19:39:00,G
8211,2811,2827,19:47:00,G
8213,2811,2827,19:55:00,G
8215,2811,2827,20:03:00,G
8217,2811,2827,20:11:00,G
8219,2811,2827,20:19:00,G
8221,2811,2827,20:27:00,G
8223,2811,2827,20:35:00,G
8225,2811,2827,20:43:00,G
8227,2811,2827,20:51:00,G
8229,2811,2827,20:59:00,G
8231,2811,2827,21:07:00,G
8233,2811,2827,21:15:00,G
8235,2811,2827,21:23:00,G
8237,2811,2827,21:31:00,G
8239,2811,2827,21:39:00,G
8241,2811,2827,21:47:00,G
8243,2811,2827,21:55:00,G
8245,2811,2827,22:03:00,G
8247,2811,2827,22:11:00,G
8249,2811,2827,22:19:00,G
8251,2811,2827,22:27:00,G
8253,2811,2827,22:35:00,G
8255,2811,2827,22:44:00,G
8257,2811,2827,22:53:00,G
8259,2811,2827,23:03:00,G
8261,2811,2827,23:13:00,G
8263,2811,2827,23:23:00,G
8265,2811,2827,23:34:00,G
8267,2811,2827,23:47:00,G
8269,2811,2818,24:02:10,G
