1002,260,1,1
1002,260,1,2
1002,260,2,1
1002,260,2,2
1002,260,3,1
1002,260,3,2
1006,2612,1,1
1006,2612,2,1
1006,2612,3,1
1006,2613,1,1
1006,2613,2,1
1006,2613,3,1
1006,2614,1,1
1006,2614,2,1
1006,2614,3,1
1006,2615,1,1
1006,2615,2,1
1006,2615,3,1
1006,2616,1,1
1006,2616,2,1
1006,2616,3,1
1071,1877,1,1
1071,1877,1,2
1071,1877,2,1
1071,1877,2,2
1071,1877,3,1
1071,1877,3,2
1075,1845,2,1
1075,1845,2,2
1075,1845,3,1
1075,1845,3,2
1063,1290,1,1
1063,1290,1,2
1063,1290,2,1
1063,1290,2,2
1063,1290,3,1
1063,1290,3,2
1063,1200,1,1
1063,1200,1,2
1063,1200,2,1
1063,1200,2,2
1063,1200,3,1
1063,1200,3,2
1063,1249,1,1
1063,1249,1,2
1063,1249,2,1
1063,1249,2,2
1063,1249,3,1
1063,1249,3,2
1065,1291,1,1
1065,1291,1,2
1065,1291,2,1
1065,1291,2,2
1065,1291,3,1
1065,1291,3,2
1065,1292,1,1
1065,1292,1,2
1065,1292,2,1
1065,1292,2,2
1065,1292,3,1
1065,1292,3,2
1065,1293,1,1
1065,1293,1,2
1065,1293,2,1
1065,1293,2,2
1065,1293,3,1
1065,1293,3,2
1065,1294,1,1
1065,1294,1,2
1065,1294,2,1
1065,1294,2,2
1065,1294,3,1
1065,1294,3,2
