TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
GW99,4307,4319,19:30:26,G
GW98,4307,4319,19:22:29,G
GW97,4307,4319,19:14:34,G
GW96,4307,4319,19:06:43,G
GW95,4307,4319,18:58:46,G
GW94,4307,4319,18:50:26,G
GW93,4307,4319,18:42:26,G
GW92,4307,4319,18:34:39,G
GW91,4307,4319,18:26:26,G
GW90,4307,4319,18:18:26,G
GW89,4307,4319,18:10:26,G
GW88,4307,4319,18:02:26,G
GW87,4307,4319,17:54:29,G
GW86,4307,4319,17:46:34,G
GW83,4307,4319,17:22:26,G
GW82,4307,4319,17:14:26,G
GW81,4307,4319,17:06:39,G
GW80,4307,4319,16:58:26,G
GW79,4307,4319,16:50:26,G
GW78,4307,4319,16:42:26,G
GW77,4307,4319,16:34:26,G
GW76,4307,4319,16:26:29,G
GW75,4307,4319,16:18:34,G
GW74,4307,4319,16:10:43,G
GW73,4307,4319,16:02:46,G
GW72,4307,4319,15:54:26,G
GW71,4307,4319,15:46:26,G
GW70,4307,4319,15:38:39,G
GW69,4307,4319,15:30:26,G
GW68,4307,4319,15:22:26,G
GW67,4307,4319,15:14:26,G
GW66,4307,4319,15:06:26,G
GW65,4307,4319,14:58:29,G
GW64,4307,4319,14:50:34,G
GW63,4307,4319,14:42:43,G
GW62,4307,4319,14:34:46,G
GW61,4307,4319,14:26:26,G
GW60,4307,4319,14:18:26,G
GW59,4307,4319,14:10:39,G
GW58,4307,4319,14:02:26,G
GW57,4307,4319,13:54:26,G
GW56,4307,4319,13:46:26,G
GW55,4307,4319,13:38:26,G
GW54,4307,4319,13:30:29,G
GW53,4307,4319,13:22:34,G
GW52,4307,4319,13:14:43,G
GW51,4307,4319,13:06:46,G
GW50,4307,4319,12:58:26,G
GW49,4307,4319,12:50:26,G
GW48,4307,4319,12:42:39,G
GW47,4307,4319,12:34:36,G
GW46,4307,4319,12:26:26,G
GW45,4307,4319,12:18:26,G
GW44,4307,4319,12:10:26,G
GW43,4307,4319,12:02:29,G
GW42,4307,4319,11:54:34,G
GW41,4307,4319,11:46:43,G
GW40,4307,4319,11:38:46,G
GW39,4307,4319,11:30:26,G
GW38,4307,4319,11:22:26,G
GW37,4307,4319,11:14:39,G
GW36,4307,4319,11:06:36,G
GW35,4307,4319,10:58:26,G
GW34,4307,4319,10:50:26,G
GW33,4307,4319,10:42:26,G
GW32,4307,4319,10:34:29,G
GW31,4307,4319,10:26:34,G
GW30,4307,4319,10:18:43,G
GW29,4307,4319,10:10:46,G
GW28,4307,4319,10:02:16,G
GW27,4307,4319,09:54:26,G
GW26,4307,4319,09:46:39,G
GW25,4307,4319,09:38:36,G
GW24,4307,4319,09:30:26,G
GW23,4307,4319,09:22:26,G
GW22,4307,4319,09:14:26,G
GW21,4307,4319,09:06:29,G
GW20,4307,4319,08:58:34,G
GW19,4307,4319,08:50:43,G
GW18,4307,4319,08:42:46,G
GW17,4307,4319,08:34:16,G
GW16,4307,4319,08:26:26,G
GW15,4307,4319,08:18:39,G
GW100,4307,4319,19:38:26,G
GW10,4307,4319,07:36:29,G
GW09,4307,4319,07:25:03,G
GW08,4307,4319,07:15:22,G
GW07,4307,4319,07:04:21,G
GW06,4307,4319,06:53:21,G
GW05,4307,4319,06:42:27,G
GW04,4307,4319,06:31:22,G
GW03,4307,4319,06:20:21,G
GW02,4312,4319,05:55:06,G
GW01,4307,4319,06:07:21,G
GW85,4307,4319,17:38:43,G
GW84,4307,4319,17:30:46,G
GW14,4307,4319,08:10:36,G
GW134,4307,4319,24:08:57,G
GW132,4307,4319,23:54:57,G
GW130,4307,4319,23:41:05,G
GW13,4307,4319,08:02:26,G
GW129,4307,4319,23:31:26,G
GW128,4307,4319,23:22:17,G
GW127,4307,4319,23:13:57,G
GW126,4307,4319,23:05:57,G
GW125,4307,4319,22:57:57,G
GW124,4307,4319,22:49:57,G
GW123,4307,4319,22:41:57,G
GW122,4307,4319,22:33:57,G
GW121,4307,4319,22:25:57,G
GW120,4307,4319,22:18:00,G
GW12,4307,4319,07:54:26,G
GW119,4307,4319,22:10:05,G
GW118,4307,4319,22:02:14,G
GW117,4307,4319,21:54:46,G
GW116,4307,4319,21:46:26,G
GW115,4307,4319,21:38:26,G
GW114,4307,4319,21:30:26,G
GW113,4307,4319,21:22:26,G
GW112,4307,4319,21:14:26,G
GW111,4307,4319,21:06:26,G
GW110,4307,4319,20:58:26,G
GW11,4307,4319,07:46:26,G
GW109,4307,4319,20:50:29,G
GW108,4307,4319,20:42:34,G
GW107,4307,4319,20:34:43,G
GW106,4307,4319,20:26:46,G
GW105,4307,4319,20:18:26,G
GW104,4307,4319,20:10:26,G
GW103,4307,4319,20:02:26,G
GW102,4307,4319,19:54:26,G
GW101,4307,4319,19:46:26,G
