TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
4502K,1762,0409,00:00:00,05:30:00,G
4504,1762,0409,00:00:00,05:42:00,G
4506K,1762,0409,00:00:00,05:54:00,G
4508K,1762,0409,00:00:00,06:06:00,G
4510,1762,0409,00:00:00,06:18:00,G
4512K,1762,0409,00:00:00,06:30:00,G
4514K,1762,0409,00:00:00,06:42:00,G
4516K,1762,0409,00:00:00,06:54:00,G
4518,1762,0409,00:00:00,07:06:00,G
4520,1762,0409,00:00:00,07:18:00,G
4522K,1762,0409,00:00:00,07:24:00,G
4524K,1762,0409,00:00:00,07:36:00,G
4526,1762,0409,00:00:00,07:48:00,G
4528,1762,0409,00:00:00,08:00:00,G
4530K,1762,0409,00:00:00,08:15:00,G
4532,1762,0409,00:00:00,08:25:00,G
4534,1762,0409,00:00:00,08:36:00,G
4536,1762,0409,00:00:00,08:48:00,G
4538,1762,0409,00:00:00,09:00:00,G
4540K,1762,0409,00:00:00,09:12:00,G
4542K,1762,0409,00:00:00,09:24:00,G
4544K,1762,0409,00:00:00,09:29:00,G
4546K,1762,0409,00:00:00,09:41:00,G
4548,1762,0409,00:00:00,09:53:00,G
4550K,1762,0409,00:00:00,10:05:00,G
4552K,1762,0409,00:00:00,10:15:00,G
4554K,1762,0409,00:00:00,10:20:00,G
4556,1762,0409,00:00:00,10:30:00,G
4558K,1762,0409,00:00:00,10:40:00,G
4560K,1762,0409,00:00:00,10:45:00,G
4562K,1762,0409,00:00:00,10:55:00,G
4564K,1762,0409,00:00:00,11:05:00,G
4566K,1762,0409,00:00:00,11:10:00,G
4568K,1762,0409,00:00:00,11:20:00,G
4570K,1762,0409,00:00:00,11:35:00,G
4572K,1762,0409,00:00:00,11:51:00,G
4574,1762,0409,00:00:00,12:00:00,G
4576K,1762,0409,00:00:00,12:10:00,G
4578,1762,0409,00:00:00,12:20:00,G
4580K,1762,0409,00:00:00,12:25:00,G
4582,1762,0409,00:00:00,12:35:00,G
4584,1762,0409,00:00:00,12:51:00,G
4586,1762,0409,00:00:00,13:00:00,G
4588K,1762,0409,00:00:00,13:10:00,G
4590,1762,0409,00:00:00,13:15:00,G
4592K,1762,0409,00:00:00,13:25:00,G
4594K,1762,0409,00:00:00,13:35:00,G
4596K,1762,0409,00:00:00,13:40:00,G
4598K,1762,0409,00:00:00,13:56:00,G
4600,1762,0409,00:00:00,14:05:00,G
4602K,1762,0409,00:00:00,14:15:00,G
4604K,1762,0409,00:00:00,14:25:00,G
4606K,1762,0409,00:00:00,14:30:00,G
4608,1762,0409,00:00:00,14:40:00,G
4610K,1762,0409,00:00:00,14:48:00,G
4612K,1762,0409,00:00:00,14:56:00,G
4614K,1762,0409,00:00:00,15:05:00,G
4616K,1762,0409,00:00:00,15:15:00,G
4618K,1762,0409,00:00:00,15:20:00,G
4620K,1762,0409,00:00:00,15:30:00,G
4622K,1762,0409,00:00:00,15:45:00,G
4624K,1762,0409,00:00:00,16:01:00,G
4626,1762,0409,00:00:00,16:10:00,G
4628K,1762,0409,00:00:00,16:20:00,G
4630K,1762,0409,00:00:00,16:35:00,G
4632K,1762,0409,00:00:00,16:50:00,G
4634,1762,0409,00:00:00,17:01:00,G
4636,1762,0409,00:00:00,17:12:00,G
4638K,1762,0409,00:00:00,17:22:00,G
4640K,1762,0409,00:00:00,17:37:00,G
4642K,1762,0409,00:00:00,17:49:00,G
4644K,1762,0409,00:00:00,18:07:00,G
4646,1762,0409,00:00:00,18:19:00,G
4648K,1762,0409,00:00:00,18:31:00,G
4650K,1762,0409,00:00:00,18:43:00,G
4652,1762,0409,00:00:00,18:55:00,G
4654K,1762,0409,00:00:00,19:07:00,G
4656K,1762,0409,00:00:00,19:19:00,G
4658K,1762,0409,00:00:00,19:31:00,G
4660K,1762,0409,00:00:00,19:43:00,G
4662K,1762,0409,00:00:00,19:49:00,G
4664K,1762,0409,00:00:00,20:01:00,G
4666K,1762,0409,00:00:00,20:13:00,G
4668,1762,0409,00:00:00,20:25:00,G
4670K,1762,0409,00:00:00,20:37:00,G
4672,1762,0409,00:00:00,20:49:00,G
4674K,1762,0409,00:00:00,21:01:00,G
4676,1762,0409,00:00:00,21:13:00,G
4678,1762,0409,00:00:00,21:25:00,G
4680,1762,0409,00:00:00,21:41:00,G
4682K,1762,0409,00:00:00,21:57:00,G
4684,1762,0409,00:00:00,22:13:00,G
4686,1762,0419,00:00:00,22:29:00,G
4688K,1762,1458,00:00:00,22:44:00,G
4690,1762,0433,00:00:00,22:59:00,G
4692K,1762,1458,00:00:00,23:24:00,G
