TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K5004,1208,1284,05:24:00,05:24:30,G
K5008,1210,1284,05:45:00,05:45:30,G
K5010,1219,1284,06:13:30,06:14:00,G
K5012,1219,1275,06:24:00,06:24:30,G
K5014,1219,1284,06:34:00,06:34:30,G
K5016,1219,1284,06:45:00,06:45:30,G
K5018,1219,1284,06:56:30,06:57:00,G
K5020,1219,1284,07:13:30,07:14:00,G
K5702,1219,1284,07:24:30,07:25:00,D
K5024,1219,1284,07:30:00,07:30:30,G
K5026,1219,1284,07:40:00,07:40:30,G
K5852,1219,1267,07:51:00,07:51:30,D
K5704,1219,1284,07:53:30,07:54:00,D
K5032,1219,1284,07:59:00,07:59:30,G
K5034,1219,1275,08:13:30,08:14:00,G
K5036,1210,1284,08:24:00,08:24:30,G
K5854,1219,1267,08:28:30,08:29:00,D
K5038,1219,1284,08:39:30,08:40:00,G
K5040,1219,1284,08:47:00,08:47:30,G
K5042,1219,1284,08:52:00,08:52:30,G
K5044,1210,1284,09:00:30,09:01:00,G
K5246,1208,1284,09:17:00,09:17:30,G
K5046,1220,1284,09:30:00,09:30:30,G
K5048,1210,1284,09:39:30,09:40:00,G
K5050,1219,1284,09:50:20,09:50:50,G
K5052,1208,1284,10:10:00,10:10:30,G
K5054,1219,100C,10:26:00,10:26:30,G
K5056,1208,1284,10:38:00,10:38:30,G
K5058,1219,1284,10:50:30,10:51:00,G
K5060,1208,1284,11:02:30,11:03:00,G
K5062,1219,1284,11:27:30,11:28:00,G
K5064,1208,1284,11:41:00,11:41:30,G
K5066,1220,1284,11:52:30,11:53:00,G
K5068,1208,1275,12:13:30,12:14:00,G
K5070,1219,1284,12:25:00,12:25:30,G
K5072,1208,1284,12:37:30,12:38:00,G
K5074,1219,1284,12:50:30,12:51:00,G
K5076,1208,1275,13:12:00,13:12:30,G
K5078,1219,1284,13:25:30,13:26:00,G
K5080,1208,1284,13:39:00,13:39:30,G
K5082,1219,1284,13:53:30,13:54:00,G
K5084,1208,1284,14:12:30,14:13:00,G
K5086,1219,1284,14:24:30,14:25:00,G
K5088,1208,1284,14:42:00,14:42:30,G
K5090,1219,1284,14:55:30,14:56:00,G
K5092,1208,1284,15:16:00,15:16:30,G
K5094,1219,1284,15:29:30,15:30:00,G
K5096,1208,1284,15:47:00,15:47:30,G
K5098,1219,1284,15:54:00,15:54:30,G
K5100,1208,1284,16:08:00,16:08:30,G
K5102,1219,1284,16:28:30,16:29:00,G
K5104,1208,1284,16:41:30,16:42:00,G
K5106,1219,1267,16:50:00,16:50:30,G
K5108,1208,1284,16:57:00,16:57:30,G
K5110,1219,1284,17:13:30,17:14:00,G
K5112,1208,100C,17:17:30,17:18:00,G
K5114,1219,1284,17:30:30,17:31:00,G
K5116,1208,1284,17:37:30,17:38:00,G
K5118,1219,1284,17:49:30,17:50:00,G
K5706,1210,1284,18:03:30,18:04:00,D
K5120,1220,1275,18:13:00,18:13:30,G
K5122,1208,1284,18:24:00,18:24:30,G
K5124,1219,1284,18:30:30,18:31:00,G
K5708,1208,1284,18:39:30,18:40:00,D
K5126,1219,1284,18:52:30,18:53:00,G
K5128,1208,1284,19:15:00,19:15:30,G
K5130,1219,1284,19:24:30,19:25:00,G
K5272,1208,100C,19:34:00,19:34:30,G
K5132,1219,1284,19:45:00,19:45:30,G
K5134,1210,1275,19:53:00,19:53:30,G
K5136,1219,1284,19:59:00,19:59:30,G
K5138,1208,1284,20:15:00,20:15:30,G
K5140,1219,1284,20:25:00,20:25:30,G
K5142,1208,1284,20:44:00,20:44:30,G
K5146,1219,1284,20:58:30,20:59:00,G
K5148,1208,1275,21:13:30,21:14:00,G
K5150,1220,1284,21:25:00,21:25:30,G
K5152,1219,1284,21:43:00,21:43:30,G
K5154,1219,1284,21:55:30,21:56:00,G
K5156,1208,1284,22:24:00,22:24:30,G
K5158,1219,1271,22:33:00,22:33:30,G
K5160,1219,1284,22:51:30,22:52:00,G
K5162,1208,1284,23:13:00,23:13:30,G
K5164,1219,100C,23:26:40,23:27:10,G
K5166,1208,1271,23:46:00,23:46:30,G
K5168,1219,100C,24:02:00,24:02:30,G
K5170,1219,1014,24:29:00,24:29:30,G
