TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,EXPRESS_YN
K6002,1862,102C,05:48:40,G
K6004,1862,102C,06:03:40,G
K6006,1862,102C,06:18:40,G
K6008,1862,102C,06:28:40,G
K6010,1846,102C,06:38:50,G
K6012,1862,102C,06:48:40,G
K6014,1846,102C,06:58:50,G
K6016,1862,102C,07:08:40,G
K6018,1846,102C,07:18:50,G
K6020,1862,102C,07:26:40,G
K6022,1846,102C,07:34:50,G
K6024,1862,102C,07:42:40,G
K6026,1862,102C,07:50:40,G
K6028,1846,102C,07:58:50,G
K6030,1862,102C,08:07:40,G
K6032,1846,102C,08:15:50,G
K6034,1862,102C,08:23:40,G
K6036,1846,102C,08:31:50,G
K6038,1862,102C,08:39:40,G
K6040,1846,102C,08:47:50,G
K6042,1862,102C,08:56:40,G
K6044,1846,102C,09:03:50,G
K6046,1862,102C,09:12:40,G
K6048,1846,102C,09:19:50,G
K6050,1862,102C,09:28:40,G
K6052,1846,102C,09:35:50,G
K6054,1862,102C,09:43:40,G
K6056,1846,102C,09:50:50,G
K6058,1862,102C,09:58:40,G
K6060,1846,102C,10:05:50,G
K6062,1862,102C,10:13:40,G
K6064,1846,102C,10:19:50,G
K6066,1862,102C,10:27:40,G
K6068,1846,102C,10:33:50,G
K6070,1862,102C,10:41:40,G
K6072,1846,102C,10:47:50,G
K6074,1862,102C,10:55:40,G
K6076,1862,102C,11:02:40,G
K6078,1846,102C,11:08:50,G
K6080,1862,102C,11:16:40,G
K6082,1846,102C,11:22:50,G
K6084,1862,102C,11:30:40,G
K6086,1846,102C,11:36:50,G
K6088,1862,102C,11:44:40,G
K6090,1846,102C,11:50:50,G
K6092,1862,102C,11:59:40,G
K6094,1862,102C,12:05:40,G
K6096,1846,102C,12:11:50,G
K6098,1862,102C,12:19:40,G
K6100,1846,102C,12:25:50,G
K6102,1862,102C,12:33:40,G
K6104,1846,102C,12:39:50,G
K6106,1862,102C,12:47:40,G
K6108,1846,102C,12:53:50,G
K6110,1862,102C,13:01:40,G
K6112,1846,102C,13:07:50,G
K6114,1862,102C,13:15:40,G
K6116,1846,102C,13:21:50,G
K6118,1862,102C,13:29:40,G
K6120,1846,102C,13:35:50,G
K6122,1862,102C,13:43:40,G
K6124,1846,102C,13:49:50,G
K6126,1862,102C,13:57:40,G
K6128,1846,102C,14:03:50,G
K6130,1862,102C,14:11:40,G
K6132,1846,102C,14:17:50,G
K6134,1862,102C,14:25:40,G
K6136,1846,102C,14:31:50,G
K6138,1862,102C,14:39:40,G
K6140,1846,102C,14:45:50,G
K6142,1862,102C,14:53:40,G
K6144,1846,102C,14:59:50,G
K6146,1862,102C,15:07:40,G
K6148,1846,102C,15:13:50,G
K6150,1862,102C,15:21:40,G
K6152,1846,102C,15:27:50,G
K6154,1862,102C,15:35:40,G
K6156,1846,102C,15:41:50,G
K6158,1862,102C,15:49:40,G
K6160,1846,102C,15:55:50,G
K6162,1862,102C,16:03:40,G
K6164,1846,102C,16:09:50,G
K6166,1862,102C,16:17:40,G
K6168,1846,102C,16:23:50,G
K6170,1862,102C,16:31:40,G
K6172,1846,102C,16:37:50,G
K6174,1862,102C,16:45:40,G
K6176,1846,102C,16:51:50,G
K6178,1862,102C,16:59:40,G
K6180,1846,102C,17:05:50,G
K6182,1862,102C,17:13:40,G
K6184,1846,102C,17:19:50,G
K6186,1862,102C,17:27:40,G
K6188,1846,102C,17:33:50,G
K6190,1862,102C,17:41:40,G
K6192,1846,102C,17:47:50,G
K6194,1862,102C,17:55:40,G
K6196,1846,102C,18:01:50,G
K6198,1862,102C,18:09:40,G
K6200,1846,102C,18:15:50,G
K6202,1862,102C,18:23:40,G
K6204,1846,102C,18:29:50,G
K6206,1862,102C,18:37:40,G
K6208,1846,102C,18:44:50,G
K6210,1862,102C,18:52:40,G
K6212,1846,102C,18:58:50,G
K6214,1862,102C,19:06:40,G
K6216,1846,102C,19:12:50,G
K6218,1862,102C,19:20:40,G
K6220,1846,102C,19:26:50,G
K6222,1862,102C,19:34:40,G
K6224,1846,102C,19:41:50,G
K6226,1862,102C,19:50:40,G
K6228,1846,102C,19:57:50,G
K6230,1862,102C,20:07:40,G
K6232,1846,102C,20:15:50,G
K6234,1846,102C,20:24:50,G
K6236,1862,102C,20:34:40,G
K6238,1846,102C,20:42:50,G
K6240,1846,102C,20:52:50,G
K6242,1846,102C,21:02:50,G
K6244,1862,102C,21:13:40,G
K6246,1846,102C,21:23:50,G
K6248,1846,102C,21:33:50,G
K6250,1846,102C,21:43:50,G
K6252,1862,102C,21:54:40,G
K6254,1846,102C,22:03:50,G
K6256,1846,102C,22:13:50,G
K6258,1862,102C,22:24:40,G
K6260,1846,102C,22:33:50,G
K6262,1862,102C,22:46:40,G
K6264,1846,102C,22:57:50,G
K6266,1846,102C,23:09:50,G
K6268,1846,102C,23:23:50,G
K6270,1846,102C,23:38:50,G
K6272,1846,102C,23:58:50,G
K6274,1846,102C,24:18:50,G
