TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
7021,2719,2761,05:39:00,05:39:30,G
7025,2712,2761,05:51:20,05:51:50,G
7029,2711,2761,06:01:20,06:01:50,G
7033,2712,2761,06:09:20,06:09:50,G
7035,2712,2761,06:16:20,06:16:50,G
7039,2711,2761,06:23:20,06:23:50,G
7041,2712,2761,06:29:20,06:29:50,G
7045,2712,2761,06:35:20,06:35:50,G
7047,2711,2761,06:41:20,06:41:50,G
7049,2712,2761,06:47:20,06:47:50,G
7051,2711,2761,06:53:20,06:53:50,G
7053,2712,2761,06:59:20,06:59:50,G
7055,2711,2761,07:05:20,07:05:50,G
7057,2712,2761,07:11:20,07:11:50,G
7059,2711,2761,07:17:20,07:17:50,G
7061,2712,2752,07:21:20,07:21:50,G
7063,2712,2761,07:25:20,07:25:50,G
7065,2711,2761,07:29:20,07:29:50,G
7067,2712,2752,07:33:20,07:33:50,G
7069,2712,2761,07:37:20,07:37:50,G
7071,2712,2761,07:41:20,07:41:50,G
7073,2711,2752,07:44:20,07:44:50,G
7075,2712,2761,07:47:40,07:48:10,G
7077,2712,2761,07:50:40,07:51:10,G
7079,2712,2752,07:53:40,07:54:10,G
7081,2712,2761,07:56:10,07:56:40,G
7083,2711,2752,07:58:40,07:59:10,G
7085,2712,2761,08:01:10,08:01:40,G
7087,2712,2752,08:03:40,08:04:10,G
7089,2712,2761,08:06:10,08:06:40,G
7091,2712,2752,08:08:40,08:09:10,G
7093,2712,2752,08:11:10,08:11:40,G
7095,2711,2761,08:13:40,08:14:10,G
7097,2712,2752,08:16:10,08:16:40,G
7099,2712,2752,08:18:40,08:19:10,G
7101,2712,2761,08:21:10,08:21:40,G
7103,2711,2752,08:23:40,08:24:10,G
7105,2712,2752,08:26:40,08:27:10,G
7107,2712,2761,08:29:40,08:30:10,G
7109,2712,2752,08:32:40,08:33:10,G
7111,2711,2752,08:35:40,08:36:10,G
7113,2712,2761,08:38:40,08:39:10,G
7115,2712,2752,08:41:40,08:42:10,G
7117,2711,2752,08:44:40,08:45:10,G
7119,2712,2761,08:47:40,08:48:10,G
