TRAIN_NO,ORIGINSTATION,DESTSTATION,ARRIVETIME,LEFTTIME,EXPRESS_YN
K5002,1208,1284,05:34:00,05:34:30,G
K5006,1210,1284,06:02:30,06:03:00,G
K5008,1219,1284,06:24:00,06:24:30,G
K5010,1219,1284,06:33:30,06:34:00,G
K5012,1219,1284,06:47:30,06:48:00,G
K5014,1219,1284,07:13:00,07:13:30,G
K5016,1219,1284,07:26:30,07:27:00,G
K5018,1219,1284,07:45:00,07:45:30,G
K5020,1208,1284,07:56:00,07:56:30,G
K5022,1219,1284,08:13:30,08:14:00,G
K5024,1210,1284,08:29:00,08:29:30,G
K5026,1219,1284,08:40:30,08:41:00,G
K5028,1208,1284,08:52:00,08:52:30,G
K5030,1220,1284,09:13:00,09:13:30,G
K5032,1208,1284,09:24:30,09:25:00,G
K5034,1219,1284,09:36:30,09:37:00,G
K5036,1208,1284,09:49:30,09:50:00,G
K5038,1219,1284,10:12:30,10:13:00,G
K5040,1208,1284,10:35:00,10:35:30,G
K5042,1219,1284,10:41:00,10:41:30,G
K5044,1208,1284,10:55:30,10:56:00,G
K5046,1219,1284,11:17:00,11:17:30,G
K5048,1208,1284,11:29:00,11:29:30,G
K5050,1219,1284,11:42:00,11:42:30,G
K5052,1208,1284,11:54:30,11:55:00,G
K5054,1220,1284,12:15:30,12:16:00,G
K5056,1208,1284,12:26:00,12:26:30,G
K5058,1219,1284,12:42:00,12:42:30,G
K5060,1208,1284,13:03:30,13:04:00,G
K5062,1219,1284,13:16:30,13:17:00,G
K5064,1210,1284,13:31:00,13:31:30,G
K5066,1219,1284,13:43:00,13:43:30,G
K5068,1208,1284,13:53:30,13:54:00,G
K5070,1219,1284,14:13:00,14:13:30,G
K5072,1208,1284,14:24:00,14:24:30,G
K5074,1219,1284,14:39:20,14:39:50,G
K5076,1208,1284,14:50:00,14:50:30,G
K5078,1219,1284,15:11:30,15:12:00,G
K5080,1208,1284,15:24:00,15:24:30,G
K5082,1219,1284,15:39:30,15:40:00,G
K5084,1208,1284,15:54:00,15:54:30,G
K5086,1219,1284,16:13:30,16:14:00,G
K5088,1208,1284,16:24:30,16:25:00,G
K5090,1219,1284,16:42:00,16:42:30,G
K5092,1208,1284,16:57:00,16:57:30,G
K5094,1219,1284,17:09:00,17:09:30,G
K5096,1208,1284,17:30:30,17:31:00,G
K5098,1220,1284,17:49:30,17:50:00,G
K5100,1208,1284,17:57:00,17:57:30,G
K5102,1219,1284,18:13:00,18:13:30,G
K5104,1208,1284,18:28:00,18:28:30,G
K5106,1219,1284,18:35:30,18:36:00,G
K5108,1208,1284,18:42:30,18:43:00,G
K5110,1219,1284,19:06:00,19:06:30,G
K5112,1210,1284,19:28:00,19:28:30,G
K5114,1219,1284,19:41:00,19:41:30,G
K5116,1208,1284,19:48:00,19:48:30,G
K5118,1219,1284,20:09:00,20:09:30,G
K5120,1208,1284,20:25:00,20:25:30,G
K5122,1220,1284,20:37:30,20:38:00,G
K5124,1208,1284,20:44:00,20:44:30,G
K5126,1219,1284,21:10:00,21:10:30,G
K5128,1208,100C,21:16:30,21:17:00,G
K5130,1219,1284,21:39:00,21:39:30,G
K5132,1208,1284,21:52:30,21:53:00,G
K5134,1219,1271,22:12:00,22:12:30,G
K5136,1208,1284,22:25:00,22:25:30,G
K5138,1219,1284,22:51:00,22:51:30,G
K5140,1219,1284,23:15:00,23:15:30,G
K5142,1208,1271,23:34:00,23:34:30,G
K5144,1219,100C,24:08:00,24:08:30,G
K5146,1219,1014,24:34:10,24:34:40,G
