A3002,서울,21728
A1002,서울,21826
A3004,서울,22386
A2002,서울,22883
A2004,서울,23263
A2006,서울,23657
A1004,서울,23869
A2008,서울,24099
A2010,서울,24483
A2012,서울,24981
A2014,서울,25459
A3006,서울,25713
A2016,서울,25964
A1006,서울,26255
A2018,서울,26495
A2020,서울,26864
A2022,서울,27088
A2024,서울,27528
A2026,서울,27948
A2028,서울,28331
A3008,서울,28720
A2030,서울,29142
A1008,서울,29314
A3010,서울,29548
A3012,서울,30137
A2034,서울,30421
A3014,서울,30783
A2036,서울,31118
A3016,서울,31496
A1010,서울,31699
A2038,서울,31940
A3018,서울,32258
A2040,서울,32534
A2042,서울,32978
A3020,서울,33275
A2044,서울,33685
A1012,서울,34092
A2046,서울,34323
A2048,서울,35180
A3024,서울,35524
A2050,서울,35903
A3026,서울,36277
A1014,서울,36487
A2052,서울,36718
A2054,서울,37277
A3028,서울,37668
A2056,서울,38078
A2058,서울,38628
A1016,서울,38869
A3030,서울,39099
A2060,서울,39502
A2062,서울,40303
A3034,서울,40740
A2064,서울,41133
A1018,서울,41278
A3036,서울,41527
A2066,서울,41867
A2068,서울,42413
A2070,서울,42941
A2072,서울,43476
A1020,서울,43662
A3038,서울,43905
A2074,서울,44265
A2076,서울,44971
A2078,서울,45450
A3042,서울,45841
A1022,서울,46046
A2080,서울,46280
A3044,서울,46676
A2082,서울,46897
A2084,서울,47450
A2086,서울,48019
A3046,서울,48410
A1024,서울,48649
A2088,서울,48892
A2090,서울,49675
A3050,서울,50095
A2092,서울,50567
A1026,서울,50857
A3052,서울,51101
A2094,서울,51473
A2096,서울,51995
A2098,서울,52587
A3054,서울,52995
A1028,서울,53274
A2100,서울,53500
A2102,서울,54139
A2104,서울,54630
A3058,서울,54969
A2106,서울,55397
A1030,서울,55661
A2108,서울,55905
A3060,서울,56271
A2110,서울,56528
A2112,서울,56976
A3062,서울,57298
A2114,서울,57657
A1032,서울,58100
A2116,서울,58339
A2118,서울,58902
A2120,서울,59300
A3066,서울,59755
A2122,서울,60172
A1034,서울,60433
A3068,서울,60667
A2124,서울,61072
A3070,서울,61396
A2126,서울,61777
A2128,서울,62230
A1036,서울,62854
A2130,서울,63083
A3074,서울,63491
A2132,서울,63701
A2134,서울,64178
A2136,서울,64573
A3076,서울,64906
A1038,서울,65325
A2138,서울,65280
A2140,서울,65856
A3078,서울,66130
A2142,서울,66501
A2144,서울,66943
A2146,서울,67614
A1040,서울,67760
A3082,서울,67991
A2148,서울,68297
A3084,서울,68593
A2150,서울,68902
A2152,서울,69379
A3086,서울,69704
A2154,서울,70105
A1042,서울,70168
A2156,서울,70702
A3088,서울,70982
A2158,서울,71441
A2160,서울,72223
A1044,서울,72460
A3092,서울,72698
A2162,서울,73053
A3094,서울,73395
A2164,서울,73707
A2166,서울,74167
A3096,서울,74567
A1046,서울,74858
A2168,서울,75093
A2170,서울,75465
A2222,서울,75768
A2172,서울,76085
A2174,서울,76723
A2176,서울,77317
A3100,서울,77650
A1048,서울,77862
A2178,서울,78095
A2180,서울,78656
A3102,서울,78934
A2182,서울,79301
A3104,서울,79629
A2184,서울,80037
A2186,서울,80719
A1050,서울,80836
A2188,서울,81478
A2190,서울,82016
A2192,서울,82637
A2194,서울,83313
A2196,서울,84013
A1052,서울,84502
A2198,서울,84740
A2200,서울,85563
A2202,서울,86307
