A2147,인천공항2터미널,773594,11
A3089,검암,776907,11
A2149,인천공항2터미널,780164,11
A2151,인천공항2터미널,784688,11
A1041,인천공항2터미널,785889,11
A3091,검암,789686,11
A2153,인천공항2터미널,792722,11
A2155,인천공항2터미널,797686,11
A3093,검암,730342,10
A2157,인천공항2터미널,806466,11
A2159,인천공항2터미널,811405,11
A1043,인천공항2터미널,812280,11
A2161,인천공항2터미널,818780,11
A3095,검암,821991,11
A2163,인천공항2터미널,825302,11
A2165,인천공항2터미널,829881,11
A3097,검암,833515,11
A2167,인천공항2터미널,837448,11
A1045,인천공항2터미널,838823,11
A3099,검암,842540,11
A2169,인천공항2터미널,845782,11
A2171,인천공항2터미널,851382,11
A2173,인천공항2터미널,856432,11
A2175,인천공항2터미널,861926,11
A1047,인천공항2터미널,865181,11
A2177,인천공항2터미널,868994,11
A2179,인천공항2터미널,873867,11
A2181,인천공항2터미널,878753,11
A2183,인천공항2터미널,883400,11
A2185,인천공항2터미널,888462,11
A1049,인천공항2터미널,891450,11
A2187,인천공항2터미널,895320,11
A3101,검암,898631,11
A2189,인천공항2터미널,902055,11
A2191,인천공항2터미널,908853,11
A2193,인천공항2터미널,914766,11
A1051,인천공항2터미널,917937,11
A2195,인천공항2터미널,921791,11
A2197,인천공항2터미널,927337,11
A2199,인천공항2터미널,932573,11
A2201,인천공항2터미널,938203,11
A2203,인천공항2터미널,1636639,19
A2001,인천공항2터미널,209907,10
A2003,인천공항2터미널,221644,10
A3001,검암,227662,10
A2005,인천공항2터미널,233383,10
A1001,인천공항2터미널,234484,10
A2007,인천공항2터미널,242077,10
A2009,인천공항2터미널,249989,10
A2011,인천공항2터미널,256735,10
A1003,인천공항2터미널,258548,10
A3003,검암,261906,10
A2013,인천공항2터미널,264609,10
A3005,검암,268136,10
A2015,인천공항2터미널,271492,10
A3007,검암,274738,10
A2017,인천공항2터미널,277846,10
A3009,검암,281696,10
A1005,인천공항2터미널,282575,10
A2019,인천공항2터미널,286054,10
A3011,검암,289434,10
A2021,인천공항2터미널,292861,10
A3013,검암,296165,10
A2023,인천공항2터미널,299370,10
A2025,인천공항2터미널,303732,10
A3015,검암,306541,10
A1007,인천공항2터미널,307618,10
A2027,인천공항2터미널,311100,10
A2029,인천공항2터미널,315435,10
A3017,검암,319005,10
A2031,인천공항2터미널,322573,10
A3019,검암,326175,10
A2033,인천공항2터미널,329393,10
A1009,인천공항2터미널,330468,10
A3021,검암,333939,10
A2035,인천공항2터미널,336831,10
A2037,인천공항2터미널,340546,10
A3023,검암,344100,10
A2039,인천공항2터미널,347407,10
A2041,인천공항2터미널,351818,10
A1011,인천공항2터미널,354537,10
A2043,인천공항2터미널,357945,10
A3025,검암,361860,10
A2045,인천공항2터미널,365351,10
A2047,인천공항2터미널,369558,10
A3027,검암,373438,10
A2049,인천공항2터미널,377136,10
A1013,인천공항2터미널,378553,10
A3029,검암,381969,10
A2051,인천공항2터미널,384579,10
A3031,검암,387572,10
A2053,인천공항2터미널,390544,10
A2055,인천공항2터미널,396026,10
A2057,인천공항2터미널,401076,10
A1015,인천공항2터미널,402483,10
A3033,검암,405838,10
A2059,인천공항2터미널,410073,10
A2061,인천공항2터미널,415226,10
A3035,검암,419094,10
A2063,인천공항2터미널,423512,10
A1017,인천공항2터미널,426534,10
A2065,인천공항2터미널,429896,10
A3037,검암,432859,10
A2067,인천공항2터미널,436757,10
A3039,검암,440680,10
A2069,인천공항2터미널,444265,10
A2071,인천공항2터미널,449116,10
