국수,문산,7312,7:49:10,5:47:18
국수,문산,7398,8:25:30,6:22:12
국수,문산,6813,8:46:30,6:52:57
국수,문산,7361,9:26:10,7:23:29
국수,문산,7418,9:51:30,7:47:52
국수,문산,7402,10:49:40,8:46:18
국수,문산,7456,11:25:30,9:21:14
국수,문산,7409,11:52:10,9:48:41
국수,문산,7408,12:24:30,10:21:2
국수,문산,7245,12:54:0,10:53:15
국수,문산,7472,13:27:30,11:22:58
국수,문산,7537,13:53:50,11:48:13
국수,문산,7110,14:24:40,12:26:10
국수,문산,7522,14:57:10,12:51:48
국수,문산,7389,15:21:10,13:18:1
국수,문산,7059,15:49:10,13:51:31
국수,문산,7678,16:25:0,14:17:2
국수,문산,7612,16:49:10,14:42:18
국수,문산,7622,17:26:40,15:19:38
국수,문산,7459,17:56:10,15:51:51
국수,문산,7660,18:25:10,16:17:30
국수,문산,6998,18:54:30,16:57:52
국수,문산,6925,19:20:10,17:24:45
국수,문산,7269,19:49:30,17:48:21
국수,문산,7826,20:21:40,18:11:14
국수,문산,7551,20:54:10,18:48:19
국수,문산,7635,21:24:0,19:16:45
국수,문산,7997,21:56:40,19:43:23
국수,문산,7379,22:22:10,20:19:11
국수,문산,7875,22:51:40,20:40:25
국수,문산,6709,23:53:30,22:1:41
