왕십리,상일동,5,10:51:20,10:51:25
왕십리,마천,11,10:57:20,10:57:9
왕십리,상일동,35,11:3:20,11:3:55
왕십리,마천,77,11:9:20,11:10:37
왕십리,상일동,64,11:15:20,11:16:24
왕십리,마천,137,11:21:20,11:23:37
왕십리,상일동,91,11:27:20,11:28:51
왕십리,마천,23,11:33:20,11:33:43
왕십리,상일동,26,11:39:20,11:39:46
왕십리,마천,53,11:45:20,11:46:13
왕십리,상일동,18,11:51:20,11:51:38
왕십리,마천,57,11:57:20,11:58:17
왕십리,상일동,17,12:3:20,12:3:37
왕십리,마천,39,12:9:20,12:9:59
왕십리,마천,61,12:21:20,12:22:21
왕십리,상일동,56,12:27:20,12:28:16
왕십리,마천,10,12:33:20,12:33:10
왕십리,상일동,109,12:39:20,12:41:9
왕십리,마천,23,12:45:20,12:45:43
왕십리,상일동,109,12:51:20,12:53:9
왕십리,마천,40,12:57:20,12:58:0
왕십리,상일동,33,13:3:20,13:3:53
왕십리,마천,102,13:9:20,13:11:2
왕십리,상일동,44,13:15:20,13:16:4
왕십리,마천,82,13:21:20,13:22:42
왕십리,상일동,57,13:27:20,13:28:17
왕십리,마천,22,13:33:20,13:33:42
왕십리,상일동,50,13:39:20,13:40:10
왕십리,마천,71,13:45:20,13:46:31
왕십리,상일동,36,13:51:20,13:51:56
왕십리,마천,58,13:57:20,13:58:18
왕십리,상일동,85,14:3:20,14:4:45
왕십리,마천,100,14:9:20,14:11:0
왕십리,상일동,69,14:15:20,14:16:29
왕십리,마천,33,14:21:20,14:21:53
왕십리,상일동,57,14:27:20,14:28:17
왕십리,마천,20,14:33:20,14:33:40
왕십리,상일동,36,14:39:20,14:39:56
왕십리,마천,48,14:45:20,14:46:8
왕십리,상일동,11,14:51:20,14:51:31
왕십리,마천,371,14:57:20,15:3:31
왕십리,상일동,97,15:3:20,15:4:57
왕십리,마천,28,15:9:20,15:9:48
왕십리,상일동,71,15:15:20,15:16:31
왕십리,마천,116,15:21:20,15:23:16
왕십리,상일동,61,15:27:20,15:28:21
왕십리,마천,74,15:33:20,15:34:34
왕십리,상일동,107,15:39:20,15:41:7
