오산,천안,4,5:9:0,5:8:56
오산,신창,10,5:31:0,5:31:10
오산,신창,14,5:58:30,5:58:16
오산,신창,13,6:25:30,6:25:43
오산,신창,1,6:49:30,6:49:29
오산,천안,66,7:5:0,7:6:6
오산,신창,123,7:14:30,7:16:33
오산,신창,12,7:46:30,7:46:42
오산,천안,17,8:7:0,8:7:17
오산,신창,83,8:28:0,8:29:23
오산,신창,8,8:39:0,8:38:52
오산,천안,2,8:46:30,8:46:32
오산,신창,16,9:10:30,9:10:46
오산,신창,59,9:25:0,9:25:59
오산,천안,144,9:43:30,9:45:54
오산,천안,32,10:4:30,10:3:58
오산,신창,102,10:10:0,10:11:42
오산,천안,56,10:33:30,10:34:26
오산,천안,110,10:30:30,10:32:20
오산,신창,82,10:53:30,10:54:52
오산,천안,197,11:14:0,11:17:17
오산,천안,280,11:18:30,11:23:10
오산,신창,80,11:31:30,11:32:50
오산,천안,1,11:51:30,11:51:29
오산,천안,51,12:11:0,12:11:51
오산,신창,232,12:14:0,12:17:52
오산,천안,25,12:30:30,12:30:55
오산,신창,10,12:53:30,12:53:20
오산,천안,19,13:9:30,13:9:49
오산,천안,108,13:32:30,13:34:18
오산,신창,56,13:30:30,13:31:26
오산,천안,35,13:52:0,13:52:35
오산,천안,42,14:13:30,14:14:12
오산,신창,42,14:11:30,14:12:12
오산,천안,61,14:32:30,14:33:31
오산,신창,153,14:41:0,14:43:33
오산,신창,66,14:52:0,14:53:6
오산,천안,4,15:10:30,15:10:34
오산,천안,1,15:23:0,15:22:59
오산,신창,45,15:30:30,15:31:15
오산,천안,41,15:44:30,15:45:11
오산,천안,247,15:51:0,15:55:7
오산,신창,1,16:11:30,16:11:29
오산,천안,114,16:20:0,16:21:54
오산,천안,234,16:30:30,16:34:24
오산,천안,165,16:43:0,16:45:45
오산,신창,370,16:49:0,16:55:10
오산,천안,318,17:10:30,17:15:48
오산,천안,163,17:20:0,17:22:43
오산,신창,85,17:30:30,17:31:55
오산,천안,133,17:50:30,17:52:43
오산,신창,181,18:0:0,18:3:1
오산,신창,137,18:10:0,18:12:17
오산,신창,321,18:30:30,18:35:51
오산,천안,130,18:49:30,18:51:40
오산,신창,270,19:7:30,19:12:0
오산,천안,158,19:24:0,19:26:38
오산,신창,235,19:40:0,19:43:55
오산,신창,398,19:43:30,19:50:8
오산,천안,346,19:57:30,20:3:16
오산,신창,146,20:20:30,20:22:56
오산,신창,166,20:39:30,20:42:16
오산,천안,107,20:57:0,20:58:47
오산,천안,297,21:16:30,21:21:27
오산,신창,188,21:14:0,21:17:8
오산,신창,496,21:27:30,21:35:46
오산,천안,190,21:44:30,21:47:40
오산,천안,100,22:0:30,22:2:10
오산,신창,499,22:14:30,22:22:49
오산,천안,224,22:40:0,22:43:44
오산,신창,294,22:51:0,22:55:54
오산,천안,85,23:8:30,23:9:55
오산,신창,126,23:27:30,23:29:36
오산,천안,27,23:46:30,23:46:57
